target_slug,target,kind,crop_slug,crop,product_slug,product,klass,reg_no,reg_until,norm_raw,dose_per_10l,method,wait_days,max_treatments,hazard_bees,page
gryzuny,грызуны,вредитель,sklady-i-zernohranilischa,склады и зернохранилища,norat,Норат,родентицид,141-06-3560-1,21.03.2032,"5 г в нору или иную укрытую точку раскладки, 0,2 кг/100 м2",,"Внесение в норы и другие укрытия грызунов с помощью аппликаторов ложечного или трубчатого типов, обработки по мере хозяйственной необходимости. Однократно в течение 2-х недель. В дальнейшем рекомендуется не более 1-2 обработок без смены препарата. Впоследствии в течение нескольких месяцев с использованием препаратов иного механизма действия.Контроль за наличием приманки проводить 1-2 раза в неделю с перерывом 2-3 дня между раскладками. Обеспечение недоступности к препарату детей, домашних животных, диких нецелевых птиц и зверей.",,1,-,1341
gryzuny,грызуны,вредитель,sklady-i-zernohranilischa,склады и зернохранилища,norat,Норат,родентицид,141-06-3560-1,21.03.2032,"10 г в нору, 0,2 кг/100 м2",,"Внесение в норы и другие укрытия грызунов с помощью аппликаторов ложечного или трубчатого типов, обработки по мере хозяйственной необходимости. Однократно в течение 2-х недель. В дальнейшем рекомендуется не более 1-2 обработок без смены препарата. Впоследствии в течение нескольких месяцев с использованием препаратов иного механизма действия.Контроль за наличием приманки проводить 1-2 раза в неделю с перерывом 2-3 дня между раскладками. Обеспечение недоступности к препарату детей, домашних животных, диких нецелевых птиц и зверей.",,1,-,1342
gryzuny,грызуны,вредитель,sklady-i-zernohranilischa,склады и зернохранилища,norat,Норат,родентицид,141-06-3560-1,21.03.2032,"10 г в нору, 0,2 кг/100 м2",,"Внесение в норы и другие укрытия грызунов с помощью аппликаторов ложечного или трубчатого типов, обработки по мере хозяйственной необходимости. Однократно в течение 2-х недель. В дальнейшем рекомендуется не более 1-2 обработок без смены препарата. Впоследствии в течение нескольких месяцев с использованием препаратов иного механизма действия.Контроль за наличием приманки проводить 1-2 раза в неделю с перерывом 2-3 дня между раскладками. Обеспечение недоступности к препарату детей, домашних животных, диких нецелевых птиц и зверей.",,1,-,1343
gryzuny,грызуны,вредитель,sklady-i-zernohranilischa,склады и зернохранилища,norat,Норат,родентицид,141-06-3560-1,21.03.2032,от 5 до 40 г в приманочный ящик или трубку,,"Внесение в норы и другие укрытия грызунов с помощью аппликаторов ложечного или трубчатого типов, обработки по мере хозяйственной необходимости. Однократно в течение 2-х недель. В дальнейшем рекомендуется не более 1-2 обработок без смены препарата. Впоследствии в течение нескольких месяцев с использованием препаратов иного механизма действия.Контроль за наличием приманки проводить 1-2 раза в неделю с перерывом 2-3 дня между раскладками. Обеспечение недоступности к препарату детей, домашних животных, диких нецелевых птиц и зверей.",,1,-,1344
gryzuny,грызуны,вредитель,sklady-i-zernohranilischa,склады и зернохранилища,rattidion,Раттидион,родентицид,141-06-3542-1,17.03.2032,5 г в нору или иную укрытую точку раскладки,,"Внесение в норы и другие укрытия грызунов с помощью аппликаторов ложечного или трубчатого типов, обработки по мере хозяйственной необходимости. Однократно в течение 2-х недель. В дальнейшем рекомендуется не более 1-2 обработок без смены препарата. Впоследствии в течение нескольких месяцев с использованием препаратов иного механизма действия.Контроль за наличием приманки проводить 1-2 раза в неделю с перерывом 2-3 дня между раскладками. Обеспечение недоступности к препарату детей, домашних животных, диких нецелевых птиц и зверей.",,1,-,1348
gryzuny,грызуны,вредитель,sklady-i-zernohranilischa,склады и зернохранилища,rattidion,Раттидион,родентицид,141-06-3542-1,17.03.2032,10 г в нору,,"Внесение в норы и другие укрытия грызунов с помощью аппликаторов ложечного или трубчатого типов, обработки по мере хозяйственной необходимости. Однократно в течение 2-х недель. В дальнейшем рекомендуется не более 1-2 обработок без смены препарата. Впоследствии в течение нескольких месяцев с использованием препаратов иного механизма действия.Контроль за наличием приманки проводить 1-2 раза в неделю с перерывом 2-3 дня между раскладками. Обеспечение недоступности к препарату детей, домашних животных, диких нецелевых птиц и зверей.",,1,-,1349
gryzuny,грызуны,вредитель,sklady-i-zernohranilischa,склады и зернохранилища,rattidion,Раттидион,родентицид,141-06-3542-1,17.03.2032,от 5 до 40 г в приманочный ящик или трубку,,"Внесение в норы и другие укрытия грызунов с помощью аппликаторов ложечного или трубчатого типов, обработки по мере хозяйственной необходимости. Однократно в течение 2-х недель. В дальнейшем рекомендуется не более 1-2 обработок без смены препарата. Впоследствии в течение нескольких месяцев с использованием препаратов иного механизма действия.Контроль за наличием приманки проводить 1-2 раза в неделю с перерывом 2-3 дня между раскладками. Обеспечение недоступности к препарату детей, домашних животных, диких нецелевых птиц и зверей.",,1,-,1350
gryzuny,грызуны,вредитель,hvoynye,"хвойные (туя, ель, можжевельник)",varat,Варат,родентицид,141-06-3509-1,01.03.2032,"5 г в нору или иную укрытую точку раскладки, 0,2 кг/100 м2",,"Внесение в норы и другие укрытия грызунов с помощью аппликаторов ложечного или трубчатого типов, обработки по мере хозяйственной необходимости. Однократно в течение 2-х недель. В дальнейшем рекомендуется не более 1-2 обработок без замены другим препаратом. В последствии в течение нескольких месяцев с использованием препаратов иного механизма действия. Контроль за наличием приманки проводить 1-2 раза в неделю с перерывом 2-3 дня между раскладками. Обеспечение недоступности к препарату детей, домашних животных, диких нецелевых птиц и зверей",,1,-,1281
gryzuny,грызуны,вредитель,hvoynye,"хвойные (туя, ель, можжевельник)",varat,Варат,родентицид,141-06-3509-1,01.03.2032,"5 г в нору или иную укрытую точку раскладки, 0,2 кг/100 м2",,"Внесение в норы и другие укрытия грызунов с помощью аппликаторов ложечного или трубчатого типов, обработки по мере хозяйственной необходимости. Однократно в течение 2-х недель. В дальнейшем рекомендуется не более 1-2 обработок без замены другим препаратом. В последствии в течение нескольких месяцев с использованием препаратов иного механизма действия. Контроль за наличием приманки проводить 1-2 раза в неделю с перерывом 2-3 дня между раскладками. Обеспечение недоступности к препарату детей, домашних животных, диких нецелевых птиц и зверей",,1,-,1282
gryzuny,грызуны,вредитель,hvoynye,"хвойные (туя, ель, можжевельник)",varat,Варат,родентицид,141-06-3509-1,01.03.2032,"10 г в нору, 0,2 кг/100 м2",,"Внесение в норы и другие укрытия грызунов с помощью аппликаторов ложечного или трубчатого типов, обработки по мере хозяйственной необходимости. Однократно в течение 2-х недель. В дальнейшем рекомендуется не более 1-2 обработок без замены другим препаратом. В последствии в течение нескольких месяцев с использованием препаратов иного механизма действия. Контроль за наличием приманки проводить 1-2 раза в неделю с перерывом 2-3 дня между раскладками. Обеспечение недоступности к препарату детей, домашних животных, диких нецелевых птиц и зверей",,1,-,1283
gryzuny,грызуны,вредитель,hvoynye,"хвойные (туя, ель, можжевельник)",varat,Варат,родентицид,141-06-3509-1,01.03.2032,"10 г в нору, 0,2 кг/100 м2",,"Внесение в норы и другие укрытия грызунов с помощью аппликаторов ложечного или трубчатого типов, обработки по мере хозяйственной необходимости. Однократно в течение 2-х недель. В дальнейшем рекомендуется не более 1-2 обработок без замены другим препаратом. В последствии в течение нескольких месяцев с использованием препаратов иного механизма действия. Контроль за наличием приманки проводить 1-2 раза в неделю с перерывом 2-3 дня между раскладками. Обеспечение недоступности к препарату детей, домашних животных, диких нецелевых птиц и зверей",,1,-,1284
gryzuny,грызуны,вредитель,hvoynye,"хвойные (туя, ель, можжевельник)",varat,Варат,родентицид,141-06-3509-1,01.03.2032,от 5 до 40 г в приманочный ящик или трубку,,"Внесение в норы и другие укрытия грызунов с помощью аппликаторов ложечного или трубчатого типов, обработки по мере хозяйственной необходимости. Однократно в течение 2-х недель. В дальнейшем рекомендуется не более 1-2 обработок без замены другим препаратом. В последствии в течение нескольких месяцев с использованием препаратов иного механизма действия. Контроль за наличием приманки проводить 1-2 раза в неделю с перерывом 2-3 дня между раскладками. Обеспечение недоступности к препарату детей, домашних животных, диких нецелевых птиц и зверей",,1,-,1285
gryzuny,грызуны,вредитель,hvoynye,"хвойные (туя, ель, можжевельник)",varat,Варат,родентицид,141-06-3618-1,11.04.2032,"1 брикет (3,6 г) в нору или иную укрытую точку раскладки, 0,2 кг/100 м2",,"Внесение в норы и другие укрытия грызунов с помощью аппликаторов ложечного или трубчатого типов, обработки по мере хозяйственной необходимости. Однократно в течение 2-х недель. В дальнейшем рекомендуется не более 1-2 обработок без смены препарата. Впоследствии в течение нескольких месяцев с исполь-зованием препаратов иного механизма действия. Контроль за наличием приманки проводить 1-2 раза в неделю с перерывом 2-3 дня между раскладками. Обеспечение недоступности к препарату детей, домашних животных, диких нецелевых птиц и зверей",,1,-,1291
gryzuny,грызуны,вредитель,hvoynye,"хвойные (туя, ель, можжевельник)",varat,Варат,родентицид,141-06-3618-1,11.04.2032,"1 брикет (3,6 г) в нору или иную укрытую точку раскладки, 0,2 кг/100 м2",,"Внесение в норы и другие укрытия грызунов с помощью аппликаторов ложечного или трубчатого типов, обработки по мере хозяйственной необходимости. Однократно в течение 2-х недель. В дальнейшем рекомендуется не более 1-2 обработок без смены препарата. Впоследствии в течение нескольких месяцев с исполь-зованием препаратов иного механизма действия. Контроль за наличием приманки проводить 1-2 раза в неделю с перерывом 2-3 дня между раскладками. Обеспечение недоступности к препарату детей, домашних животных, диких нецелевых птиц и зверей",,1,-,1292
gryzuny,грызуны,вредитель,hvoynye,"хвойные (туя, ель, можжевельник)",varat,Варат,родентицид,141-06-3618-1,11.04.2032,"2 брикета (7,2 г) в нору, 0,2 кг/100 м2",,"Внесение в норы и другие укрытия грызунов с помощью аппликаторов ложечного или трубчатого типов, обработки по мере хозяйственной необходимости. Однократно в течение 2-х недель. В дальнейшем рекомендуется не более 1-2 обработок без смены препарата. Впоследствии в течение нескольких месяцев с исполь-зованием препаратов иного механизма действия. Контроль за наличием приманки проводить 1-2 раза в неделю с перерывом 2-3 дня между раскладками. Обеспечение недоступности к препарату детей, домашних животных, диких нецелевых птиц и зверей",,1,-,1293
gryzuny,грызуны,вредитель,hvoynye,"хвойные (туя, ель, можжевельник)",varat,Варат,родентицид,141-06-3618-1,11.04.2032,"2 брикета (7,2 г) в нору, 0,2 кг/100 м2",,"Внесение в норы и другие укрытия грызунов с помощью аппликаторов ложечного или трубчатого типов, обработки по мере хозяйственной необходимости. Однократно в течение 2-х недель. В дальнейшем рекомендуется не более 1-2 обработок без смены препарата. Впоследствии в течение нескольких месяцев с исполь-зованием препаратов иного механизма действия. Контроль за наличием приманки проводить 1-2 раза в неделю с перерывом 2-3 дня между раскладками. Обеспечение недоступности к препарату детей, домашних животных, диких нецелевых птиц и зверей",,1,-,1294
gryzuny,грызуны,вредитель,hvoynye,"хвойные (туя, ель, можжевельник)",varat,Варат,родентицид,141-06-3618-1,11.04.2032,от 5 до 30 г в приманочный ящик или трубку,,"Внесение в норы и другие укрытия грызунов с помощью аппликаторов ложечного или трубчатого типов, обработки по мере хозяйственной необходимости. Однократно в течение 2-х недель. В дальнейшем рекомендуется не более 1-2 обработок без смены препарата. Впоследствии в течение нескольких месяцев с исполь-зованием препаратов иного механизма действия. Контроль за наличием приманки проводить 1-2 раза в неделю с перерывом 2-3 дня между раскладками. Обеспечение недоступности к препарату детей, домашних животных, диких нецелевых птиц и зверей",,1,-,1295
gryzuny,грызуны,вредитель,hvoynye,"хвойные (туя, ель, можжевельник)",varat,Варат,родентицид,141-06-3619-1,11.04.2032,от 5 до 40 г в приманочный ящик или трубку,,"Внесение в норы и другие укрытия грызунов вручную (руки защищены резиновыми перчатками) или с помощью ложечного аппликатора, обработки по мере хозяйственной необходимости. Однократно в течение 2-х недель. В дальнейшем рекомендуется не более 1-2 обработок без смены препарата. Впоследствии в течение нескольких месяцев с использованием препаратов иного механизма действия Контроль за наличием приманки проводить 1-2 раза в неделю с перерывом 2-3 дня между раскладками. Обеспечение недоступности к препарату детей, домашних животных, диких нецелевых птиц и зверей.",,1,-,1297
gryzuny,грызуны,вредитель,hvoynye,"хвойные (туя, ель, можжевельник)",varat,Варат,родентицид,141-06-3619-1,11.04.2032,"1 брикет (13 г) на две близко расположенные норы или иные укрытые точки раскладки, 0,2 кг/100 м2",,"Внесение в норы и другие укрытия грызунов вручную (руки защищены резиновыми перчатками) или с помощью ложечного аппликатора, обработки по мере хозяйственной необходимости. Однократно в течение 2-х недель. В дальнейшем рекомендуется не более 1-2 обработок без смены препарата. Впоследствии в течение нескольких месяцев с использованием препаратов иного механизма действия Контроль за наличием приманки проводить 1-2 раза в неделю с перерывом 2-3 дня между раскладками. Обеспечение недоступности к препарату детей, домашних животных, диких нецелевых птиц и зверей.",,1,-,1302
gryzuny,грызуны,вредитель,hvoynye,"хвойные (туя, ель, можжевельник)",varat,Варат,родентицид,141-06-3619-1,11.04.2032,"1 брикет (13 г) на две близко расположенные норы или иные укрытые точки раскладки, 0,2 кг/100 м2",,"Внесение в норы и другие укрытия грызунов вручную (руки защищены резиновыми перчатками) или с помощью ложечного аппликатора, обработки по мере хозяйственной необходимости. Однократно в течение 2-х недель. В дальнейшем рекомендуется не более 1-2 обработок без смены препарата. Впоследствии в течение нескольких месяцев с использованием препаратов иного механизма действия Контроль за наличием приманки проводить 1-2 раза в неделю с перерывом 2-3 дня между раскладками. Обеспечение недоступности к препарату детей, домашних животных, диких нецелевых птиц и зверей.",,1,-,1303
gryzuny,грызуны,вредитель,hvoynye,"хвойные (туя, ель, можжевельник)",varat,Варат,родентицид,141-06-3619-1,11.04.2032,"1 брикет (13 г) в нору, 0,2 кг/100 м2",,"Внесение в норы и другие укрытия грызунов вручную (руки защищены резиновыми перчатками) или с помощью ложечного аппликатора, обработки по мере хозяйственной необходимости. Однократно в течение 2-х недель. В дальнейшем рекомендуется не более 1-2 обработок без смены препарата. Впоследствии в течение нескольких месяцев с использованием препаратов иного механизма действия Контроль за наличием приманки проводить 1-2 раза в неделю с перерывом 2-3 дня между раскладками. Обеспечение недоступности к препарату детей, домашних животных, диких нецелевых птиц и зверей.",,1,-,1304
gryzuny,грызуны,вредитель,hvoynye,"хвойные (туя, ель, можжевельник)",varat,Варат,родентицид,141-06-3619-1,11.04.2032,"1 брикет (13 г) в нору, 0,2 кг/100 м2",,"Внесение в норы и другие укрытия грызунов вручную (руки защищены резиновыми перчатками) или с помощью ложечного аппликатора, обработки по мере хозяйственной необходимости. Однократно в течение 2-х недель. В дальнейшем рекомендуется не более 1-2 обработок без смены препарата. Впоследствии в течение нескольких месяцев с использованием препаратов иного механизма действия Контроль за наличием приманки проводить 1-2 раза в неделю с перерывом 2-3 дня между раскладками. Обеспечение недоступности к препарату детей, домашних животных, диких нецелевых птиц и зверей.",,1,-,1305
gryzuny,грызуны,вредитель,hvoynye,"хвойные (туя, ель, можжевельник)",norat,Норат,родентицид,141-06-3560-1,21.03.2032,"5 г в нору или иную укрытую точку раскладки, 0,2 кг/100 м2",,"Внесение в норы и другие укрытия грызунов с помощью аппликаторов ложечного или трубчатого типов, обработки по мере хозяйственной необходимости. Однократно в течение 2-х недель. В дальнейшем рекомендуется не более 1-2 обработок без смены препарата. Впоследствии в течение нескольких месяцев с использованием препаратов иного механизма действия.Контроль за наличием приманки проводить 1-2 раза в неделю с перерывом 2-3 дня между раскладками. Обеспечение недоступности к препарату детей, домашних животных, диких нецелевых птиц и зверей.",,1,-,1340
gryzuny,грызуны,вредитель,hvoynye,"хвойные (туя, ель, можжевельник)",norat,Норат,родентицид,141-06-3560-1,21.03.2032,"5 г в нору или иную укрытую точку раскладки, 0,2 кг/100 м2",,"Внесение в норы и другие укрытия грызунов с помощью аппликаторов ложечного или трубчатого типов, обработки по мере хозяйственной необходимости. Однократно в течение 2-х недель. В дальнейшем рекомендуется не более 1-2 обработок без смены препарата. Впоследствии в течение нескольких месяцев с использованием препаратов иного механизма действия.Контроль за наличием приманки проводить 1-2 раза в неделю с перерывом 2-3 дня между раскладками. Обеспечение недоступности к препарату детей, домашних животных, диких нецелевых птиц и зверей.",,1,-,1341
gryzuny,грызуны,вредитель,hvoynye,"хвойные (туя, ель, можжевельник)",norat,Норат,родентицид,141-06-3560-1,21.03.2032,"10 г в нору, 0,2 кг/100 м2",,"Внесение в норы и другие укрытия грызунов с помощью аппликаторов ложечного или трубчатого типов, обработки по мере хозяйственной необходимости. Однократно в течение 2-х недель. В дальнейшем рекомендуется не более 1-2 обработок без смены препарата. Впоследствии в течение нескольких месяцев с использованием препаратов иного механизма действия.Контроль за наличием приманки проводить 1-2 раза в неделю с перерывом 2-3 дня между раскладками. Обеспечение недоступности к препарату детей, домашних животных, диких нецелевых птиц и зверей.",,1,-,1342
gryzuny,грызуны,вредитель,hvoynye,"хвойные (туя, ель, можжевельник)",norat,Норат,родентицид,141-06-3560-1,21.03.2032,"10 г в нору, 0,2 кг/100 м2",,"Внесение в норы и другие укрытия грызунов с помощью аппликаторов ложечного или трубчатого типов, обработки по мере хозяйственной необходимости. Однократно в течение 2-х недель. В дальнейшем рекомендуется не более 1-2 обработок без смены препарата. Впоследствии в течение нескольких месяцев с использованием препаратов иного механизма действия.Контроль за наличием приманки проводить 1-2 раза в неделю с перерывом 2-3 дня между раскладками. Обеспечение недоступности к препарату детей, домашних животных, диких нецелевых птиц и зверей.",,1,-,1343
gryzuny,грызуны,вредитель,hvoynye,"хвойные (туя, ель, можжевельник)",norat,Норат,родентицид,141-06-3560-1,21.03.2032,от 5 до 40 г в приманочный ящик или трубку,,"Внесение в норы и другие укрытия грызунов с помощью аппликаторов ложечного или трубчатого типов, обработки по мере хозяйственной необходимости. Однократно в течение 2-х недель. В дальнейшем рекомендуется не более 1-2 обработок без смены препарата. Впоследствии в течение нескольких месяцев с использованием препаратов иного механизма действия.Контроль за наличием приманки проводить 1-2 раза в неделю с перерывом 2-3 дня между раскладками. Обеспечение недоступности к препарату детей, домашних животных, диких нецелевых птиц и зверей.",,1,-,1344
gryzuny,грызуны,вредитель,hvoynye,"хвойные (туя, ель, можжевельник)",rattidion,Раттидион,родентицид,141-06-3542-1,17.03.2032,5 г в нору или иную укрытую точку раскладки,,"Внесение в норы и другие укрытия грызунов с помощью аппликаторов ложечного или трубчатого типов, обработки по мере хозяйственной необходимости. Однократно в течение 2-х недель. В дальнейшем рекомендуется не более 1-2 обработок без смены препарата. Впоследствии в течение нескольких месяцев с использованием препаратов иного механизма действия.Контроль за наличием приманки проводить 1-2 раза в неделю с перерывом 2-3 дня между раскладками. Обеспечение недоступности к препарату детей, домашних животных, диких нецелевых птиц и зверей.",,1,-,1348
gryzuny,грызуны,вредитель,hvoynye,"хвойные (туя, ель, можжевельник)",rattidion,Раттидион,родентицид,141-06-3542-1,17.03.2032,10 г в нору,,"Внесение в норы и другие укрытия грызунов с помощью аппликаторов ложечного или трубчатого типов, обработки по мере хозяйственной необходимости. Однократно в течение 2-х недель. В дальнейшем рекомендуется не более 1-2 обработок без смены препарата. Впоследствии в течение нескольких месяцев с использованием препаратов иного механизма действия.Контроль за наличием приманки проводить 1-2 раза в неделю с перерывом 2-3 дня между раскладками. Обеспечение недоступности к препарату детей, домашних животных, диких нецелевых птиц и зверей.",,1,-,1349
gryzuny,грызуны,вредитель,hvoynye,"хвойные (туя, ель, можжевельник)",rattidion,Раттидион,родентицид,141-06-3542-1,17.03.2032,от 5 до 40 г в приманочный ящик или трубку,,"Внесение в норы и другие укрытия грызунов с помощью аппликаторов ложечного или трубчатого типов, обработки по мере хозяйственной необходимости. Однократно в течение 2-х недель. В дальнейшем рекомендуется не более 1-2 обработок без смены препарата. Впоследствии в течение нескольких месяцев с использованием препаратов иного механизма действия.Контроль за наличием приманки проводить 1-2 раза в неделю с перерывом 2-3 дня между раскладками. Обеспечение недоступности к препарату детей, домашних животных, диких нецелевых птиц и зверей.",,1,-,1350
gusenitsy,гусеницы,вредитель,kapusta,капуста,batrayder,Батрайдер,инсектицид,021-01-2591-1,12.03.2030,2 мл/3 л воды,"6,7 мл",Опрыскивание в период вегетации,20,1,I,63
gusenitsy,гусеницы,вредитель,kapusta,капуста,bitoksibatsillin,Битоксибациллин,инсектицид,034-01-2881-1,17.11.2030,40-50 г/10 лводы,40–50 г,Опрыскивание в период вегетации против каждого поколения вредителя с интервалом 7-8 дней,5,2,III,26
gusenitsy,гусеницы,вредитель,kapusta,капуста,boveriks-zh,"Боверикс, Ж",инсектицид,585-01-9716-1,08.12.2035,100 мл/10 лводы,100 мл,Опрыскивание в период вегетации с интервалом 10-14 дней.,5,4,III,35
gusenitsy,гусеницы,вредитель,kapusta,капуста,gerold,Герольд,инсектицид,021-01-1679-1,11.01.2028,5 мл/10 лводы,5 мл,Опрыскивание в период вегетации,30,1,III,133
gusenitsy,гусеницы,вредитель,kapusta,капуста,imiprid-duo,Имиприд Дуо,инсектицид,002-01-10053-0,28.07.2029,2 мл/100 м2,,Опрыскивание в период вегетации,20,2,I,171
gusenitsy,гусеницы,вредитель,kapusta,капуста,karbotsin,Карбоцин,инсектицид,441-01-1513-1,30.05.2027,1 таб./10 лводы,1 таб,Опрыскивание растений в период вегетации,25,2,I,289
gusenitsy,гусеницы,вредитель,kapusta,капуста,kinmiks,Кинмикс,инсектицид,262-01-9609-0,30.09.2028,"2,0-3,0",,Опрыскивание в период вегетации.,20,2,I,103
gusenitsy,гусеницы,вредитель,kapusta,капуста,lepidotsid,Лепидоцид,инсектицид,034-01-2886-1,09.12.2030,20-30 г/10 лводы,20–30 г,Опрыскивание в период вегетации против каждого поколения вредителя с интервалом 7-8 дней,5,2,III,31
gusenitsy,гусеницы,вредитель,kapusta,капуста,lepidotsid,Лепидоцид,инсектицид,034-01-2882-1,13.12.2030,20-30 мл/10 лводы,20–30 мл,Опрыскивание в период вегетации против каждого поколения вредителя с интервалом 7-8 дней,5,2,III,34
gusenitsy,гусеницы,вредитель,kapusta,капуста,matrinbio,МатринБио,инсектицид,021-01-2672-1,12.05.2030,10-15 мл/3 лводы,"33,3–50 мл",Опрыскивание в период вегетации,3,3,III,222
gusenitsy,гусеницы,вредитель,kapusta,капуста,molniya-ekstra,Молния Экстра,инсектицид,046-01-5030-1,26.02.2027,"1,5 мл/100 м2",,Опрыскивание в период вегетации.,20,2,I,288
gusenitsy,гусеницы,вредитель,kapusta,капуста,turinbash,ТуринБаш,инсектицид,585-01-9829-1,11.03.2036,200 мл/10 лводы,200 мл,Опрыскивание в период вегетации против каждого поколения вредителя с интервалом 7-10 дней.,,5,III,5
gusenitsy,гусеницы,вредитель,kapusta,капуста,fitoverm-forte,Фитоверм Форте,инсектицид,012-01-1326-1,12.01.2027,3 мл/100 м2,,Опрыскивание в период вегетации,3,3,III,43
gusenitsy,гусеницы,вредитель,kapusta,капуста,sharpey,Шарпей,инсектицид,021-01-2589-1,12.03.2030,"1,5 мл/3 лводы",5 мл,Опрыскивание в период вегетации,25,3,I,287
gusenitsy,гусеницы,вредитель,kryzhovnik,крыжовник,lepidotsid,Лепидоцид,инсектицид,034-01-2886-1,09.12.2030,20-30 г/10 лводы,20–30 г,Опрыскивание в период вегетации против каждого поколения вредителя с интервалом 7-8 дней,5,2,III,32
gusenitsy,гусеницы,вредитель,luk,лук,matrinbio-bau,МатринБио БАУ,инсектицид,021-01-4440-1,04.03.2034,700 мл/10-30 растений,,Опрыскивание с помощью флакона с курковым распылителем с готовым рабочим раствором в период вегетации при появлении вредителей,3,3,III,223
gusenitsy,гусеницы,вредитель,malina,малина,lepidotsid,Лепидоцид,инсектицид,034-01-2886-1,09.12.2030,20-30 г/10 лводы,20–30 г,Опрыскивание в период вегетации против каждого поколения вредителя с интервалом 7-8 дней,5,2,III,32
gusenitsy,гусеницы,вредитель,plodovye-derevya,плодовые деревья (общее),lepidotsid,Лепидоцид,инсектицид,034-01-2886-1,09.12.2030,20-30 г/10 лводы,20–30 г,Опрыскивание в период массового отрождения гусениц против каждого поколения вредителя с интервалом 10-14 дней (на плодовых культурах – 7-8 дней),5,2,III,32
gusenitsy,гусеницы,вредитель,plodovye-derevya,плодовые деревья (общее),moletoks,Молетокс,инсектицид,021-01-3034-1,24.02.2031,5 мл/10 лводы,5 мл,Опрыскивание в период вегетации (в зависимости от возраста и объема кроны),,1,I,293
gusenitsy,гусеницы,вредитель,ryabina,рябина,lepidotsid,Лепидоцид,инсектицид,034-01-2886-1,09.12.2030,20-30 г/10 лводы,20–30 г,Опрыскивание в период вегетации против каждого поколения вредителя с интервалом 7-8 дней,5,2,III,32
gusenitsy,гусеницы,вредитель,smorodina,смородина,lepidotsid,Лепидоцид,инсектицид,034-01-2886-1,09.12.2030,20-30 г/10 лводы,20–30 г,Опрыскивание в период вегетации против каждого поколения вредителя с интервалом 7-8 дней,5,2,III,32
gusenitsy,гусеницы,вредитель,smorodina,смородина,fitoverm-forte,Фитоверм Форте,инсектицид,012-01-1326-1,12.01.2027,4 мл/10 лводы,4 мл,Опрыскивание в период вегетации,3,2,III,43
gusenitsy,гусеницы,вредитель,tomat,томат,lepidotsid,Лепидоцид,инсектицид,034-01-2886-1,09.12.2030,30-40 г/10 л,30–40 г,"Опрыскивание в период вегетации 0,3-0,4 % рабочим раствором",5,1,III,32
gusenitsy,гусеницы,вредитель,yablonya,яблоня,boveriks-zh,"Боверикс, Ж",инсектицид,585-01-9716-1,08.12.2035,100 мл/10 лводы,100 мл,Опрыскивание в период вегетации с интервалом 7-8 дней.,5,4,III,35
