regulation_id,target_slug,target,kind,latin
774,klop-vrednaya-cherepashka,клоп вредная черепашка,вредитель,
774,pyavitsa,пьявица,вредитель,Oulema melanopus
774,sornyaki,сорняки (общее),сорняк,
774,tlya,тля,вредитель,Aphis gossypii Glov.
774,tripsy,трипсы,вредитель,
775,ambarnye-vrediteli,амбарные вредители,вредитель,
775,plodozhorka,плодожорка,вредитель,Cydia pomonella L.
775,tlya,тля,вредитель,Aphis gossypii Glov.
776,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
777,skrytnohobotnik,скрытнохоботник,вредитель,
777,tsvetoed,цветоед,вредитель,
778,saranchovye,саранчовые,вредитель,
779,tsvetoed,цветоед,вредитель,
780,tlya,тля,вредитель,Aphis gossypii Glov.
780,schitovka,щитовка,вредитель,Lepidosaphes ulmi L.
781,listovertka,листовертка,вредитель,Pandemis ribeana Hbn.
782,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
782,miniruyuschaya-mol,минирующая моль,вредитель,
782,sovka,совка,вредитель,
783,sovka,совка,вредитель,
784,lugovoy-motylek,луговой мотылек,вредитель,
784,ognevka,огневка,вредитель,
784,plodozhorka,плодожорка,вредитель,Cydia pomonella L.
784,sovka,совка,вредитель,
784,tlya,тля,вредитель,Aphis gossypii Glov.
784,tripsy,трипсы,вредитель,
785,sovka,совка,вредитель,
786,lugovoy-motylek,луговой мотылек,вредитель,
786,miniruyuschaya-mol,минирующая моль,вредитель,
786,ognevka,огневка,вредитель,
787,dolgonosik,долгоносик,вредитель,
787,ognevka,огневка,вредитель,
788,dolgonosik,долгоносик,вредитель,
788,miniruyuschaya-mol,минирующая моль,вредитель,
788,plodozhorka,плодожорка,вредитель,Cydia pomonella L.
788,tlya,тля,вредитель,Aphis gossypii Glov.
789,pyavitsa,пьявица,вредитель,Oulema melanopus
789,sornyaki,сорняки (общее),сорняк,
789,tsikadki,цикадки,вредитель,
790,klop,клоп,вредитель,
790,sornyaki,сорняки (общее),сорняк,
790,tlya,тля,вредитель,Aphis gossypii Glov.
791,klop,клоп,вредитель,
791,tlya,тля,вредитель,Aphis gossypii Glov.
792,klop,клоп,вредитель,
793,klop,клоп,вредитель,
794,klop,клоп,вредитель,
795,klop,клоп,вредитель,
796,vrediteli,вредители (общее),вредитель,
797,listogryzuschie-vrediteli,листогрызущие вредители,вредитель,
797,sosuschie-vrediteli,сосущие вредители,вредитель,
798,saranchovye,саранчовые,вредитель,
799,vrediteli,вредители (общее),вредитель,
800,listogryzuschie-vrediteli,листогрызущие вредители,вредитель,
800,sosuschie-vrediteli,сосущие вредители,вредитель,
801,ambarnye-vrediteli,амбарные вредители,вредитель,
801,kleschi,клещи (общее),вредитель,
802,ambarnye-vrediteli,амбарные вредители,вредитель,
802,kleschi,клещи (общее),вредитель,
803,ambarnye-vrediteli,амбарные вредители,вредитель,
803,kleschi,клещи (общее),вредитель,
804,ambarnye-vrediteli,амбарные вредители,вредитель,
804,kleschi,клещи (общее),вредитель,
805,ambarnye-vrediteli,амбарные вредители,вредитель,
805,kleschi,клещи (общее),вредитель,
806,ambarnye-vrediteli,амбарные вредители,вредитель,
806,kleschi,клещи (общее),вредитель,
807,ambarnye-vrediteli,амбарные вредители,вредитель,
808,ambarnye-vrediteli,амбарные вредители,вредитель,
809,ambarnye-vrediteli,амбарные вредители,вредитель,
810,vrediteli,вредители (общее),вредитель,
811,ambarnye-vrediteli,амбарные вредители,вредитель,
811,kleschi,клещи (общее),вредитель,
812,ambarnye-vrediteli,амбарные вредители,вредитель,
812,kleschi,клещи (общее),вредитель,
813,ambarnye-vrediteli,амбарные вредители,вредитель,
813,kleschi,клещи (общее),вредитель,
814,ambarnye-vrediteli,амбарные вредители,вредитель,
814,kleschi,клещи (общее),вредитель,
815,ambarnye-vrediteli,амбарные вредители,вредитель,
815,kleschi,клещи (общее),вредитель,
816,ambarnye-vrediteli,амбарные вредители,вредитель,
816,kleschi,клещи (общее),вредитель,
817,ambarnye-vrediteli,амбарные вредители,вредитель,
817,kleschi,клещи (общее),вредитель,
818,ambarnye-vrediteli,амбарные вредители,вредитель,
818,kleschi,клещи (общее),вредитель,
819,ambarnye-vrediteli,амбарные вредители,вредитель,
819,kleschi,клещи (общее),вредитель,
820,ambarnye-vrediteli,амбарные вредители,вредитель,
820,kleschi,клещи (общее),вредитель,
821,ambarnye-vrediteli,амбарные вредители,вредитель,
821,kleschi,клещи (общее),вредитель,
822,ambarnye-vrediteli,амбарные вредители,вредитель,
822,kleschi,клещи (общее),вредитель,
823,ambarnye-vrediteli,амбарные вредители,вредитель,
823,kleschi,клещи (общее),вредитель,
824,ambarnye-vrediteli,амбарные вредители,вредитель,
824,kleschi,клещи (общее),вредитель,
825,ambarnye-vrediteli,амбарные вредители,вредитель,
825,kleschi,клещи (общее),вредитель,
826,ambarnye-vrediteli,амбарные вредители,вредитель,
826,kleschi,клещи (общее),вредитель,
827,ambarnye-vrediteli,амбарные вредители,вредитель,
827,kleschi,клещи (общее),вредитель,
828,ambarnye-vrediteli,амбарные вредители,вредитель,
828,kleschi,клещи (общее),вредитель,
829,ambarnye-vrediteli,амбарные вредители,вредитель,
829,kleschi,клещи (общее),вредитель,
830,ambarnye-vrediteli,амбарные вредители,вредитель,
830,kleschi,клещи (общее),вредитель,
831,ambarnye-vrediteli,амбарные вредители,вредитель,
832,ambarnye-vrediteli,амбарные вредители,вредитель,
833,kleschi,клещи (общее),вредитель,
834,kleschi,клещи (общее),вредитель,
835,ambarnye-vrediteli,амбарные вредители,вредитель,
836,kleschi,клещи (общее),вредитель,
837,ambarnye-vrediteli,амбарные вредители,вредитель,
838,ambarnye-vrediteli,амбарные вредители,вредитель,
839,ambarnye-vrediteli,амбарные вредители,вредитель,
840,kleschi,клещи (общее),вредитель,
841,ambarnye-vrediteli,амбарные вредители,вредитель,
842,kleschi,клещи (общее),вредитель,
843,ambarnye-vrediteli,амбарные вредители,вредитель,
844,ambarnye-vrediteli,амбарные вредители,вредитель,
845,ambarnye-vrediteli,амбарные вредители,вредитель,
846,ambarnye-vrediteli,амбарные вредители,вредитель,
846,kleschi,клещи (общее),вредитель,
847,ambarnye-vrediteli,амбарные вредители,вредитель,
847,kleschi,клещи (общее),вредитель,
848,ambarnye-vrediteli,амбарные вредители,вредитель,
848,kleschi,клещи (общее),вредитель,
849,ambarnye-vrediteli,амбарные вредители,вредитель,
849,kleschi,клещи (общее),вредитель,
850,ambarnye-vrediteli,амбарные вредители,вредитель,
850,kleschi,клещи (общее),вредитель,
851,kleschi,клещи (общее),вредитель,
852,ambarnye-vrediteli,амбарные вредители,вредитель,
852,kleschi,клещи (общее),вредитель,
853,kleschi,клещи (общее),вредитель,
854,ambarnye-vrediteli,амбарные вредители,вредитель,
855,ambarnye-vrediteli,амбарные вредители,вредитель,
856,ambarnye-vrediteli,амбарные вредители,вредитель,
857,kleschi,клещи (общее),вредитель,
858,ambarnye-vrediteli,амбарные вредители,вредитель,
859,kleschi,клещи (общее),вредитель,
860,ambarnye-vrediteli,амбарные вредители,вредитель,
861,ambarnye-vrediteli,амбарные вредители,вредитель,
862,kleschi,клещи (общее),вредитель,
863,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
863,plodozhorka,плодожорка,вредитель,Cydia pomonella L.
863,tripsy,трипсы,вредитель,
864,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
864,plodozhorka,плодожорка,вредитель,Cydia pomonella L.
864,tripsy,трипсы,вредитель,
866,miniruyuschaya-mol,минирующая моль,вредитель,
867,tripsy,трипсы,вредитель,
868,tripsy,трипсы,вредитель,
869,tripsy,трипсы,вредитель,
870,ambarnye-vrediteli,амбарные вредители,вредитель,
871,belokrylka,белокрылка,вредитель,
871,tripsy,трипсы,вредитель,
872,ambarnye-vrediteli,амбарные вредители,вредитель,
873,ambarnye-vrediteli,амбарные вредители,вредитель,
874,ambarnye-vrediteli,амбарные вредители,вредитель,
875,ambarnye-vrediteli,амбарные вредители,вредитель,
876,ambarnye-vrediteli,амбарные вредители,вредитель,
876,kleschi,клещи (общее),вредитель,
877,ambarnye-vrediteli,амбарные вредители,вредитель,
877,kleschi,клещи (общее),вредитель,
878,ambarnye-vrediteli,амбарные вредители,вредитель,
878,kleschi,клещи (общее),вредитель,
879,ambarnye-vrediteli,амбарные вредители,вредитель,
879,kleschi,клещи (общее),вредитель,
880,ambarnye-vrediteli,амбарные вредители,вредитель,
880,kleschi,клещи (общее),вредитель,
881,ambarnye-vrediteli,амбарные вредители,вредитель,
881,kleschi,клещи (общее),вредитель,
882,ambarnye-vrediteli,амбарные вредители,вредитель,
882,kleschi,клещи (общее),вредитель,
883,ambarnye-vrediteli,амбарные вредители,вредитель,
883,kleschi,клещи (общее),вредитель,
884,ambarnye-vrediteli,амбарные вредители,вредитель,
884,kleschi,клещи (общее),вредитель,
885,ambarnye-vrediteli,амбарные вредители,вредитель,
885,kleschi,клещи (общее),вредитель,
886,ambarnye-vrediteli,амбарные вредители,вредитель,
886,kleschi,клещи (общее),вредитель,
887,ambarnye-vrediteli,амбарные вредители,вредитель,
887,kleschi,клещи (общее),вредитель,
888,ambarnye-vrediteli,амбарные вредители,вредитель,
888,kleschi,клещи (общее),вредитель,
889,ambarnye-vrediteli,амбарные вредители,вредитель,
889,kleschi,клещи (общее),вредитель,
890,ambarnye-vrediteli,амбарные вредители,вредитель,
890,kleschi,клещи (общее),вредитель,
891,ambarnye-vrediteli,амбарные вредители,вредитель,
891,kleschi,клещи (общее),вредитель,
892,ambarnye-vrediteli,амбарные вредители,вредитель,
892,kleschi,клещи (общее),вредитель,
893,ambarnye-vrediteli,амбарные вредители,вредитель,
893,kleschi,клещи (общее),вредитель,
894,ambarnye-vrediteli,амбарные вредители,вредитель,
894,kleschi,клещи (общее),вредитель,
895,ambarnye-vrediteli,амбарные вредители,вредитель,
896,ambarnye-vrediteli,амбарные вредители,вредитель,
897,ambarnye-vrediteli,амбарные вредители,вредитель,
898,kartofelnaya-korovka,картофельная коровка,вредитель,
899,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
899,sornyaki,сорняки (общее),сорняк,
899,hlebnaya-zhuzhelitsa,хлебная жужелица,вредитель,
900,klop,клоп,вредитель,
900,klop-vrednaya-cherepashka,клоп вредная черепашка,вредитель,
901,hlebnaya-zhuzhelitsa,хлебная жужелица,вредитель,
902,koloradskiy-zhuk,колорадский жук,вредитель,Leptinotarsa decemlineata
903,belokrylka,белокрылка,вредитель,
904,saranchovye,саранчовые,вредитель,
905,koloradskiy-zhuk,колорадский жук,вредитель,Leptinotarsa decemlineata
906,koloradskiy-zhuk,колорадский жук,вредитель,Leptinotarsa decemlineata
907,klop,клоп,вредитель,
907,klop-vrednaya-cherepashka,клоп вредная черепашка,вредитель,
908,belokrylka,белокрылка,вредитель,
909,belokrylka,белокрылка,вредитель,
910,koloradskiy-zhuk,колорадский жук,вредитель,Leptinotarsa decemlineata
911,pililschik,пилильщик,вредитель,Hoplocampa brevis Klug.
911,tsvetoed,цветоед,вредитель,
912,klop,клоп,вредитель,
912,skrytnohobotnik,скрытнохоботник,вредитель,
912,tlya,тля,вредитель,Aphis gossypii Glov.
913,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
914,klop,клоп,вредитель,
914,klop-vrednaya-cherepashka,клоп вредная черепашка,вредитель,
914,sovka,совка,вредитель,
914,tsikadki,цикадки,вредитель,
915,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
916,pyavitsa,пьявица,вредитель,Oulema melanopus
917,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
918,pililschik,пилильщик,вредитель,Hoplocampa brevis Klug.
918,skrytnohobotnik,скрытнохоботник,вредитель,
918,tsvetoed,цветоед,вредитель,
919,miniruyuschaya-mol,минирующая моль,вредитель,
920,plodozhorka,плодожорка,вредитель,Cydia pomonella L.
920,tlya,тля,вредитель,Aphis gossypii Glov.
921,medyanitsa,медяница,вредитель,Psylla pyri L.
921,tsvetoed,цветоед,вредитель,
922,tsikadki,цикадки,вредитель,
923,plodozhorka,плодожорка,вредитель,Cydia pomonella L.
923,tlya,тля,вредитель,Aphis gossypii Glov.
924,medyanitsa,медяница,вредитель,Psylla pyri L.
924,tsvetoed,цветоед,вредитель,
925,tsikadki,цикадки,вредитель,
926,koloradskiy-zhuk,колорадский жук,вредитель,Leptinotarsa decemlineata
927,plodozhorka,плодожорка,вредитель,Cydia pomonella L.
928,hlebnaya-zhuzhelitsa,хлебная жужелица,вредитель,
929,klop,клоп,вредитель,
929,klop-vrednaya-cherepashka,клоп вредная черепашка,вредитель,
930,koloradskiy-zhuk,колорадский жук,вредитель,Leptinotarsa decemlineata
931,koloradskiy-zhuk,колорадский жук,вредитель,Leptinotarsa decemlineata
932,hlebnaya-zhuzhelitsa,хлебная жужелица,вредитель,
933,pililschik,пилильщик,вредитель,Hoplocampa brevis Klug.
933,tsvetoed,цветоед,вредитель,
934,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
934,sornyaki,сорняки (общее),сорняк,
934,hlebnaya-zhuzhelitsa,хлебная жужелица,вредитель,
935,dolgonosik,долгоносик,вредитель,
936,dolgonosik,долгоносик,вредитель,
937,hlebnaya-zhuzhelitsa,хлебная жужелица,вредитель,
938,klop,клоп,вредитель,
938,klop-vrednaya-cherepashka,клоп вредная черепашка,вредитель,
938,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
938,tlya,тля,вредитель,Aphis gossypii Glov.
938,tripsy,трипсы,вредитель,
939,pililschik,пилильщик,вредитель,Hoplocampa brevis Klug.
939,pyavitsa,пьявица,вредитель,Oulema melanopus
939,tripsy,трипсы,вредитель,
940,dolgonosik,долгоносик,вредитель,
941,lugovoy-motylek,луговой мотылек,вредитель,
941,tlya,тля,вредитель,Aphis gossypii Glov.
942,ambarnye-vrediteli,амбарные вредители,вредитель,
942,plodozhorka,плодожорка,вредитель,Cydia pomonella L.
942,tlya,тля,вредитель,Aphis gossypii Glov.
943,dolgonosik,долгоносик,вредитель,
943,ognevka,огневка,вредитель,
943,plodozhorka,плодожорка,вредитель,Cydia pomonella L.
944,pililschik,пилильщик,вредитель,Hoplocampa brevis Klug.
944,tsvetoed,цветоед,вредитель,
945,klop,клоп,вредитель,
945,klop-vrednaya-cherepashka,клоп вредная черепашка,вредитель,
945,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
945,pililschik,пилильщик,вредитель,Hoplocampa brevis Klug.
945,pyavitsa,пьявица,вредитель,Oulema melanopus
945,sornyaki,сорняки (общее),сорняк,
945,tlya,тля,вредитель,Aphis gossypii Glov.
945,tripsy,трипсы,вредитель,
946,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
946,pililschik,пилильщик,вредитель,Hoplocampa brevis Klug.
946,skrytnohobotnik,скрытнохоботник,вредитель,
946,tsvetoed,цветоед,вредитель,
947,ambarnye-vrediteli,амбарные вредители,вредитель,
947,plodozhorka,плодожорка,вредитель,Cydia pomonella L.
947,tlya,тля,вредитель,Aphis gossypii Glov.
948,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
949,klop,клоп,вредитель,
949,klop-vrednaya-cherepashka,клоп вредная черепашка,вредитель,
949,pililschik,пилильщик,вредитель,Hoplocampa brevis Klug.
949,pyavitsa,пьявица,вредитель,Oulema melanopus
949,sornyaki,сорняки (общее),сорняк,
949,tlya,тля,вредитель,Aphis gossypii Glov.
949,tripsy,трипсы,вредитель,
950,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
951,pililschik,пилильщик,вредитель,Hoplocampa brevis Klug.
951,pyavitsa,пьявица,вредитель,Oulema melanopus
951,sornyaki,сорняки (общее),сорняк,
951,tlya,тля,вредитель,Aphis gossypii Glov.
951,tripsy,трипсы,вредитель,
952,dolgonosik,долгоносик,вредитель,
952,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
953,lugovoy-motylek,луговой мотылек,вредитель,
953,tlya,тля,вредитель,Aphis gossypii Glov.
954,koloradskiy-zhuk,колорадский жук,вредитель,Leptinotarsa decemlineata
954,tlya,тля,вредитель,Aphis gossypii Glov.
954,tsikadki,цикадки,вредитель,
955,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
956,skrytnohobotnik,скрытнохоботник,вредитель,
956,tsvetoed,цветоед,вредитель,
957,dolgonosik,долгоносик,вредитель,
958,ambarnye-vrediteli,амбарные вредители,вредитель,
958,plodozhorka,плодожорка,вредитель,Cydia pomonella L.
958,tlya,тля,вредитель,Aphis gossypii Glov.
959,lugovoy-motylek,луговой мотылек,вредитель,
959,ognevka,огневка,вредитель,
959,plodozhorka,плодожорка,вредитель,Cydia pomonella L.
959,sovka,совка,вредитель,
959,tlya,тля,вредитель,Aphis gossypii Glov.
959,tripsy,трипсы,вредитель,
960,klop,клоп,вредитель,
960,klop-vrednaya-cherepashka,клоп вредная черепашка,вредитель,
960,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
960,pililschik,пилильщик,вредитель,Hoplocampa brevis Klug.
960,pyavitsa,пьявица,вредитель,Oulema melanopus
960,sornyaki,сорняки (общее),сорняк,
960,tlya,тля,вредитель,Aphis gossypii Glov.
960,tripsy,трипсы,вредитель,
961,ambarnye-vrediteli,амбарные вредители,вредитель,
961,dolgonosik,долгоносик,вредитель,
961,plodozhorka,плодожорка,вредитель,Cydia pomonella L.
961,tlya,тля,вредитель,Aphis gossypii Glov.
962,ambarnye-vrediteli,амбарные вредители,вредитель,
962,dolgonosik,долгоносик,вредитель,
962,plodozhorka,плодожорка,вредитель,Cydia pomonella L.
962,tlya,тля,вредитель,Aphis gossypii Glov.
963,koloradskiy-zhuk,колорадский жук,вредитель,Leptinotarsa decemlineata
963,miniruyuschaya-mol,минирующая моль,вредитель,
964,lugovoy-motylek,луговой мотылек,вредитель,
964,sovka,совка,вредитель,
964,tlya,тля,вредитель,Aphis gossypii Glov.
965,lukovaya-muha,луковая муха,вредитель,Delia antiqua (Meigen)
966,dolgonosik,долгоносик,вредитель,
966,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
966,lugovoy-motylek,луговой мотылек,вредитель,
966,sovka,совка,вредитель,
967,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
967,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
967,miniruyuschaya-mol,минирующая моль,вредитель,
967,sovka,совка,вредитель,
968,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
968,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
968,miniruyuschaya-mol,минирующая моль,вредитель,
968,sovka,совка,вредитель,
969,plodozhorka,плодожорка,вредитель,Cydia pomonella L.
969,tlya,тля,вредитель,Aphis gossypii Glov.
969,tsvetoed,цветоед,вредитель,
970,hlebnaya-zhuzhelitsa,хлебная жужелица,вредитель,
971,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
971,sornyaki,сорняки (общее),сорняк,
972,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
972,sornyaki,сорняки (общее),сорняк,
973,zhuk-schelkun-provolochnik,жук-щелкун / проволочник,вредитель,
973,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
973,provolochnik,проволочник,вредитель,
973,sornyaki,сорняки (общее),сорняк,
973,tlya,тля,вредитель,Aphis gossypii Glov.
973,tsikadki,цикадки,вредитель,
974,zhuk-schelkun-provolochnik,жук-щелкун / проволочник,вредитель,
974,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
974,provolochnik,проволочник,вредитель,
974,sornyaki,сорняки (общее),сорняк,
975,alternarioz,альтернариоз,болезнь,Alternaria solani Sorauer.
975,gelmintosporioz,гельминтоспориоз,болезнь,
975,golovnya,головня,болезнь,
975,kornevaya-gnil,корневая гниль,болезнь,
975,kornevye-gnili,корневые гнили,болезнь,"Fusarium spp. Lk : Fr, Rhizoctonia spp. DC."
975,muchnistaya-rosa,мучнистая роса,болезнь,Erysiphe cichoracearum Dc. f. cucurbitacearum Poteb.
975,plesnevenie-semyan,плесневение семян,болезнь,
975,fuzarioz,фузариоз,болезнь,Fusarium oxysporum
976,alternarioz,альтернариоз,болезнь,Alternaria solani Sorauer.
976,gelmintosporioz,гельминтоспориоз,болезнь,
976,golovnya,головня,болезнь,
976,kornevaya-gnil,корневая гниль,болезнь,
976,kornevye-gnili,корневые гнили,болезнь,"Fusarium spp. Lk : Fr, Rhizoctonia spp. DC."
976,plesnevenie-semyan,плесневение семян,болезнь,
976,fuzarioz,фузариоз,болезнь,Fusarium oxysporum
977,alternarioz,альтернариоз,болезнь,Alternaria solani Sorauer.
977,gelmintosporioz,гельминтоспориоз,болезнь,
977,golovnya,головня,болезнь,
977,kornevaya-gnil,корневая гниль,болезнь,
977,kornevye-gnili,корневые гнили,болезнь,"Fusarium spp. Lk : Fr, Rhizoctonia spp. DC."
977,muchnistaya-rosa,мучнистая роса,болезнь,Erysiphe cichoracearum Dc. f. cucurbitacearum Poteb.
977,plesen-snezhnaya,плесень снежная,болезнь,
977,plesnevenie-semyan,плесневение семян,болезнь,
977,fuzarioz,фузариоз,болезнь,Fusarium oxysporum
977,tserkosporoz,церкоспороз,болезнь,
978,alternarioz,альтернариоз,болезнь,Alternaria solani Sorauer.
978,gelmintosporioz,гельминтоспориоз,болезнь,
978,golovnya,головня,болезнь,
978,kornevaya-gnil,корневая гниль,болезнь,
978,kornevye-gnili,корневые гнили,болезнь,"Fusarium spp. Lk : Fr, Rhizoctonia spp. DC."
978,plesnevenie-semyan,плесневение семян,болезнь,
978,fuzarioz,фузариоз,болезнь,Fusarium oxysporum
979,hlebnaya-zhuzhelitsa,хлебная жужелица,вредитель,
980,zhuk-schelkun-provolochnik,жук-щелкун / проволочник,вредитель,
980,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
980,provolochnik,проволочник,вредитель,
980,sornyaki,сорняки (общее),сорняк,
980,tlya,тля,вредитель,Aphis gossypii Glov.
980,hlebnaya-zhuzhelitsa,хлебная жужелица,вредитель,
981,zhuk-schelkun-provolochnik,жук-щелкун / проволочник,вредитель,
981,provolochnik,проволочник,вредитель,
982,zhuk-schelkun-provolochnik,жук-щелкун / проволочник,вредитель,
982,koloradskiy-zhuk,колорадский жук,вредитель,Leptinotarsa decemlineata
982,provolochnik,проволочник,вредитель,
983,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
983,sornyaki,сорняки (общее),сорняк,
983,hlebnaya-zhuzhelitsa,хлебная жужелица,вредитель,
984,dolgonosik,долгоносик,вредитель,
984,sovka,совка,вредитель,
985,zhuk-schelkun-provolochnik,жук-щелкун / проволочник,вредитель,
985,provolochnik,проволочник,вредитель,
986,zhuk-schelkun-provolochnik,жук-щелкун / проволочник,вредитель,
986,koloradskiy-zhuk,колорадский жук,вредитель,Leptinotarsa decemlineata
986,provolochnik,проволочник,вредитель,
987,klop,клоп,вредитель,
987,klop-vrednaya-cherepashka,клоп вредная черепашка,вредитель,
987,pililschik,пилильщик,вредитель,Hoplocampa brevis Klug.
987,pyavitsa,пьявица,вредитель,Oulema melanopus
987,tlya,тля,вредитель,Aphis gossypii Glov.
987,tripsy,трипсы,вредитель,
988,hlebnaya-zhuzhelitsa,хлебная жужелица,вредитель,
989,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
989,sornyaki,сорняки (общее),сорняк,
990,zhuk-schelkun-provolochnik,жук-щелкун / проволочник,вредитель,
990,koloradskiy-zhuk,колорадский жук,вредитель,Leptinotarsa decemlineata
990,provolochnik,проволочник,вредитель,
990,tlya,тля,вредитель,Aphis gossypii Glov.
991,zhuk-schelkun-provolochnik,жук-щелкун / проволочник,вредитель,
991,koloradskiy-zhuk,колорадский жук,вредитель,Leptinotarsa decemlineata
991,provolochnik,проволочник,вредитель,
