reg_no,product,ingredient_slug,ingredient,conc_value,conc_unit
058-02-817-1,Винцит Форте,flutriafol,Флутриафол,37.5,г/л
590-01-4191-1,Вирий,tiakloprid,Тиаклоприд,245.0,г/л
085-02-1201-1,Виртуоз,propikonazol,Пропиконазол,250.0,г/л
085-02-1201-1,Виртуоз,tsiprokonazol,Ципроконазол,80.0,г/л
295-02-639-1,Вист,tiabendazol,Тиабендазол,400.0,г/кг
295-02-4972-1,"Вист, шашки насыпные",tiabendazol,Тиабендазол,400.0,г/кг
699-02-3865-1,Витазол Экстра,protiokonazol,Протиоконазол,300.0,г/л
699-02-3865-1,Витазол Экстра,tebukonazol,Тебуконазол,300.0,г/л
064-01-2889-1,Витакс,imidakloprid,Имидаклоприд,600.0,г/л
087(082)-02-2419-1,Виталон,tebukonazol,Тебуконазол,14.0,г/л
087(082)-02-2419-1,Виталон,tiram,Тирам,400.0,г/л
139-02-4602-1,Витаплан,bacillus-subtilis,Bacillus subtilis,10000000000.0,КОЕ/г
021-03-3493-1,Витара,dikamba,Дикамба,480.0,г/л
021-02-1690-1,Витарос,karboksin,Карбоксин,198.0,г/л
021-02-1690-1,Витарос,tiram,Тирам,198.0,г/л
126-02-2245-1,Виташанс,sera,Сера,800.0,г/кг
528-02-3704-1,Витена 450,tsimoksanil,Цимоксанил,450.0,г/кг
085-03-3500-1,Властелин,mtspa,МЦПА,500.0,г/л
699-03-3598-1,Вождь,s-metolahlor,С-метолахлор,312.5,г/л
699-03-3598-1,Вождь,terbutilazin,Тербутилазин,187.5,г/л
590(297)-04-2969-1,Волат,dikvat,Дикват,150.0,г/л
085-03-3319-1,Воленс,atsifluorfen,Ацифлуорфен,200.0,г/л
085-03-3319-1,Воленс,klomazon,Кломазон,42.0,г/л
041-01-4240-0,Волиам Флекси,tiametoksam,Тиаметоксам,200.0,г/л
041-01-4240-0,Волиам Флекси,hlorantraniliprol,Хлорантранилипрол,100.0,г/л
374-02-3708-1,Волсепт Сид,imazalil,Имазалил,100.0,г/л
297-03-4202-0,Вольник,glifosat,Глифосат,540.0,г/л
082-01-1527-1,Восторг,klotianidin,Клотианидин,140.0,г/л
082-01-1527-1,Восторг,lyambda-tsigalotrin,Лямбда-цигалотрин,100.0,г/л
184(026)-03-3751-1,Вояж,nikosulfuron,Никосульфурон,750.0,г/кг
010-03-3486-1,Всполох,2-4-d,"2,4-Д",344.0,г/л
010-03-3486-1,Всполох,dikamba,Дикамба,120.0,г/л
050-01-990-1,Вулкан,bifentrin,Бифентрин,200.0,г/л
050-01-4250-1,Вулкан,bifentrin,Бифентрин,200.0,г/л
699-03-3132-1,Выбор,kletodim,Клетодим,360.0,г/л
050-03-4569-0,Вымпел 2,desmedifam,Десмедифам,160.0,г/л
050-03-4663-1,Вымпел 2,desmedifam,Десмедифам,160.0,г/л
050-03-4569-0,Вымпел 2,fenmedifam,Фенмедифам,160.0,г/л
050-03-4663-1,Вымпел 2,fenmedifam,Фенмедифам,160.0,г/л
050-03-4570-0,Вымпел 3,desmedifam,Десмедифам,71.0,г/л
050-03-4664-1,Вымпел 3,desmedifam,Десмедифам,71.0,г/л
050-03-4570-0,Вымпел 3,fenmedifam,Фенмедифам,91.0,г/л
050-03-4664-1,Вымпел 3,fenmedifam,Фенмедифам,91.0,г/л
050-03-4570-0,Вымпел 3,etofumezat,Этофумезат,112.0,г/л
050-03-4664-1,Вымпел 3,etofumezat,Этофумезат,112.0,г/л
145-07-1604-1,Вэрва,triterpenovye-kisloty,Тритерпеновые кислоты,10.0,г/л
145-07-676-1,Вэрва-ель,flavonoidy-eli,Флавоноиды ели,10.0,г/л
966-03-4833-0,Габарит Голд,tifensulfuron-metil,Тифенсульфурон-метил,375.0,г/кг
966-03-4833-0,Габарит Голд,tribenuron-metil,Трибенурон-метил,375.0,г/кг
966-03-4894-0,Габарит Дуо,tifensulfuron-metil,Тифенсульфурон-метил,500.0,г/кг
966-03-4894-0,Габарит Дуо,tribenuron-metil,Трибенурон-метил,250.0,г/кг
966-03-4838-0,Габарит Ультра,tifensulfuron-metil,Тифенсульфурон-метил,750.0,г/кг
699-03-3449-1,Гавань Плюс,mezotrion,Мезотрион,75.0,г/л
699-03-3449-1,Гавань Плюс,nikosulfuron,Никосульфурон,30.0,г/л
126-01-4547-1,Газель,atsetamiprid,Ацетамиприд,200.0,г/кг
021-03-1807-1,Гайтан,pendimetalin,Пендиметалин,330.0,г/л
742-03-4363-1,Гал-Балдукс,klopiralid,Клопиралид,300.0,г/л
742-03-4424-1,Гал-Басус,s-metolahlor,С-метолахлор,312.5,г/л
742-03-4424-1,Гал-Басус,terbutilazin,Тербутилазин,187.5,г/л
742-03-4364-1,Гал-Визия,hizalofop-p-etil,Хизалофоп-п-этил,50.0,г/л
014(148)-03-3663-1,Галакси Топ,atsifluorfen,Ацифлуорфен,160.0,г/л
014(148)-03-3663-1,Галакси Топ,bentazon,Бентазон,320.0,г/л
192-03-3009-1,Галактион,galoksifop-p-metil,Галоксифоп-п-метил,104.0,г/л
866-03-4656-0,Галера Супер КА,aminopiralid,Аминопиралид,17.0,г/л
866-03-4656-0,Галера Супер КА,klopiralid,Клопиралид,267.0,г/л
866-03-4656-0,Галера Супер КА,pikloram,Пиклорам,80.0,г/л
156-03-2813-1,Галиган,oksifluorfen,Оксифлуорфен,240.0,г/л
156-01-3843-1,Галил,bifentrin,Бифентрин,50.0,г/л
156-01-3843-1,Галил,imidakloprid,Имидаклоприд,250.0,г/л
021-03-4216-1,Галион,klopiralid,Клопиралид,300.0,г/л
021-03-4216-1,Галион,pikloram,Пиклорам,75.0,г/л
050(360)-03-1064-1,Галлон,galoksifop-p-metil,Галоксифоп-п-метил,104.0,г/л
050-03-9677-0,Галлон,kisloty-galoksifop-p-metila,Кислоты галоксифоп-п-метила,104.0,г/л
913-03-4472-1,Галмет,galoksifop-r-metil,Галоксифоп-р-метил,104.0,г/л
742-03-4418-1,Галоканекс,mezotrion,Мезотрион,480.0,г/л
647-03-2852-1,Галокситин,galoksifop-p-metil,Галоксифоп-п-метил,104.0,г/л
402-03-3800-1,Галоп М,galoksifop-p-metil,Галоксифоп-п-метил,104.0,г/л
126-03-4038-1,Галошанс,galoksifop-p-metil,Галоксифоп-п-метил,104.0,г/л
018-03-3782-1,Галс,klomazon,Кломазон,480.0,г/л
139-02-3967-1,Гамаир,bacillus-subtilis,Bacillus subtilis,10000000000.0,КОЕ/Мл
139-02-2115-1,Гамаир,bacillus-subtilis,Bacillus subtilis,100000000000.0,КОЕ/г
139-02-2349-1,Гамаир,bacillus-subtilis,Bacillus subtilis,1000000000.0,КОЕ/г
021-03-1727-1,Гамбит,prometrin,Прометрин,500.0,г/л
041-03-3383-1,Гардо Голд,s-metolahlor,С-метолахлор,312.5,г/л
041-03-3383-1,Гардо Голд,terbutilazin,Тербутилазин,187.5,г/л
178-02-9640-1,Гаридо,mankotseb,Манкоцеб,400.0,г/л
178-02-9640-1,Гаридо,mefenoksama,Мефеноксама,25.0,г/л
082-03-2408-1,Гарнизон,bentazon,Бентазон,480.0,г/л
699-03-9748-0,Гаронж,bentazon,Бентазон,480.0,г/л
642-01-2954-1,Гарпун,atsetamiprid,Ацетамиприд,115.0,г/л
642-01-2954-1,Гарпун,lyambda-tsigalotrin,Лямбда-цигалотрин,106.0,г/л
677-03-3062-1,Гаугай,galoksifop-p-metil,Галоксифоп-п-метил,108.0,г/л
021-03-1808-1,Гаур,oksifluorfen,Оксифлуорфен,240.0,г/л
019-01-2869-1,Гаучо Эво,imidakloprid,Имидаклоприд,175.0,г/л
019-01-2869-1,Гаучо Эво,klotianidin,Клотианидин,100.0,г/л
607-01-3730-1,Гедеон,lyambda-tsigalotrin,Лямбда-цигалотрин,50.0,г/л
871-01-4904-1,Гедеон,lyambda-tsigalotrin,Лямбда-цигалотрин,50.0,г/л
041-03-1302-1,Гезагард,prometrin,Прометрин,500.0,г/л
097-03-217-1,Гезадар,prometrin,Прометрин,500.0,г/л
002-03-4419-1,Гезатрин,prometrin,Прометрин,500.0,г/л
018-03-1474-1,Гейзер,bentazon,Бентазон,300.0,г/л
018-03-1474-1,Гейзер,hizalofop-p-etil,Хизалофоп-п-этил,45.0,г/л
021-02-3255-1,Геката,difenokonazol,Дифеноконазол,120.0,г/л
021-02-3255-1,Геката,tetrakonazol,Тетраконазол,60.0,г/л
535-03-3305-1,Гекстар,tribenuron-metil,Трибенурон-метил,750.0,г/кг
278-03-4116-0,Гелиос,glifosat,Глифосат,360.0,г/л
278-03-4118-0,Гелиос Экстра,glifosat,Глифосат,540.0,г/л
126-01-4457-1,Гелифас,indoksakarb,Индоксакарб,150.0,г/л
021-02-9617-0,Геллерт,protiokonazol,Протиоконазол,250.0,г/л
146(002)-03-1974-1,Генсек,dikamba,Дикамба,88.5,г/л
146(002)-03-1974-1,Генсек,klopiralid,Клопиралид,177.0,г/л
146(002)-03-1974-1,Генсек,pikloram,Пиклорам,88.5,г/л
041-02-4743-1,Геокс,fludioksonil,Флудиоксонил,500.0,г/кг
041-02-498-1,Геокс,fludioksonil,Флудиоксонил,500.0,г/кг
070-03-3812-1,Геразол,imazetapir,Имазетапир,100.0,г/л
018-02-3019-1,Гераклион,azoksistrobin,Азоксистробин,15.0,г/л
018-02-3019-1,Гераклион,tebukonazol,Тебуконазол,25.0,г/л
018-02-3019-1,Гераклион,tiram,Тирам,400.0,г/л
607-03-3739-1,Герб-480,dikamba,Дикамба,480.0,г/л
082-03-3886-1,Гербикс,mtspa,МЦПА,500.0,г/л
008-03-4377-0,Гербимакс,klopiralid,Клопиралид,300.0,г/л
021-03-4449-0,Гербитокс,mtspa,МЦПА,500.0,г/л
021-03-1848-1,Гербитокс-Л,mtspa,МЦПА,300.0,г/л
972-03-4874-1,Герзамокс,g-l-imazamoks-sinokem-agro-ko-ltd,"Г/л имазамокс) синокем агро ко., лтд",40.0,г/л
018-03-4499-1,Гермес,imazamoks,Имазамокс,38.0,г/л
018-03-4499-1,Гермес,hizalofop-p-etil,Хизалофоп-п-этил,50.0,г/л
018-03-4727-1,Гермес Форте,imazamoks,Имазамокс,30.0,г/л
018-03-4727-1,Гермес Форте,imazapir,Имазапир,12.0,г/л
018-03-4727-1,Гермес Форте,hizalofop-p-etil,Хизалофоп-п-этил,20.0,г/л
021-01-1679-1,Герольд,diflubenzuron,Дифлубензурон,240.0,г/л
002-03-4855-0,Геронт,galoksifop-p-metil,Галоксифоп-п-метил,80.0,г/л
002-03-4855-0,Геронт,kletodim,Клетодим,130.0,г/л
064-03-3291-1,Герсотил,tribenuron-metil,Трибенурон-метил,750.0,г/кг
046-07-1247-1,Гетероауксин,1n-indolil-3-etanovoy-kisloty,1н-индолил-3-этановой кислоты,780.0,г/кг
033-07-942-1,Гетероауксин,1n-indolil-3-etanovoy-kisloty,1н-индолил-3-этановой кислоты,50.0,г/кг
046-07-2492-1,Гетероауксин,1n-indolil-3-etanovoy-kisloty,1н-индолил-3-этановой кислоты,695.0,г/кг
046-07-5038-1,Гетероауксин,1n-indolil-3-etanovoy-kisloty,1н-индолил-3-этановой кислоты,695.0,г/кг
046-07-5039-1,Гетероауксин,1n-indolil-3-etanovoy-kisloty,1н-индолил-3-этановой кислоты,780.0,г/кг
033-07-3057-1,Гетероауксин+,3-indoliluksusnaya-kislota-kalievoy-soli,3-индолилуксусная кислота калиевой соли,50.0,г/кг
038(915)-03-4429-1,Гештальт,klokvintoset-meksil,Клоквинтосет-мексил,11.25,г/л
038(915)-03-4429-1,Гештальт,pinoksaden,Пиноксаден,45.0,г/л
586-07-2470-1,Гибб Плюс,a7,А7,10.0,г/л
586-07-2470-1,Гибб Плюс,gibberellinovye-kisloty-a4,Гиббереллиновые кислоты а4,10.0,г/л
018-07-2170-1,Гиббера,a7,А7,10.0,г/л
018-07-2170-1,Гиббера,gibberellinovye-kisloty-a4,Гиббереллиновые кислоты а4,10.0,г/л
034-07-1313-1,Гибберсиб,gibberellinovyh-kislot-natrievye-soli,Гиббереллиновых кислот натриевые соли,90.0,г/кг
427-07-2226-1,Гиберелон,gibberellinovyh-kislot-natrievye-soli,Гиббереллиновых кислот натриевые соли,40.0,г/кг
429-07-3755-1,Гидрамак,maleinovyy-gidrazid,Малеиновый гидразид,800.0,г/кг
018-02-801-1,Гимексазол,gimeksazol,Гимексазол,700.0,г/кг
018-02-9653-1,Гимексазол,gimeksazol,Гимексазол,700.0,г/кг
002-02-2925-1,Гимнаст,dimetomorf,Диметоморф,90.0,г/кг
002-02-2925-1,Гимнаст,mankotseb,Манкоцеб,600.0,г/кг
023(197)-01-2851-1,Гладиатор,lyambda-tsigalotrin,Лямбда-цигалотрин,50.0,г/л
023-01-1334-1,Гладиатор Супер,klotianidin,Клотианидин,140.0,г/л
023-01-1334-1,Гладиатор Супер,lyambda-tsigalotrin,Лямбда-цигалотрин,100.0,г/л
126-03-9964-1,Гладиум,flumioksazin,Флумиоксазин,260.0,г/л
062-02-3356-1,Глайдер,tebukonazol,Тебуконазол,500.0,г/л
002-03-4016-0,ГлиБест,glifosat,Глифосат,360.0,г/л
002-03-4050-0,ГлиБест 540,glifosat,Глифосат,540.0,г/л
002-03-9865-0,ГлиБест 540,glifosat,Глифосат,540.0,г/л
002-03-9880-0,ГлиБест Гранд,glifosat,Глифосат,687.0,г/кг
097-03-3950-0,ГлиБест Гранд,glifosat,Глифосат,687.0,г/л
139-02-3161-1,Глиокладин,trichoderma-harzianum,Trichoderma harzianum,10000000000.0,КОЕ/г
139-02-2260-1,Глиокладин,trichoderma-harzianum,Trichoderma harzianum,1000000000.0,КОЕ/г
010-03-3997-0,Глиф,glifosat,Глифосат,540.0,г/л
010-03-9861-0,Глиф,glifosat,Глифосат,540.0,г/л
082-03-4361-0,Глифор,glifosat,Глифосат,360.0,г/л
082-03-4846-0,Глифор Форте,glifosat,Глифосат,540.0,г/л
082-03-3562-0,Глифор Форте,glifosat,Глифосат,540.0,г/л
023(197)-03-3959-0,Глифот,glifosat,Глифосат,360.0,г/л
197-03-9814-0,Глифот,glifosat,Глифосат,360.0,г/л
197(549)-03-4127-0,Глифот Супер,glifosat,Глифосат,687.0,г/кг
197-03-9974-0,Глифот Супер,glifosat,Глифосат,687.0,г/кг
126-03-4068-0,Глифошанс,glifosat,Глифосат,360.0,г/л
126-03-10109-0,Глифошанс Супер,glifosat,Глифосат,540.0,г/л
126-03-4188-0,Глифошанс супер,glifosat,Глифосат,540.0,г/л
192-03-4211-1,Глобал,imazamoks,Имазамокс,40.0,г/л
192-03-1382-1,Глобал Плюс,imazamoks,Имазамокс,120.0,г/л
586-07-3313-1,Глобарилл,6-benzilaminopurin,6-бензиламинопурин,100.0,г/л
018-03-4906-1,Глок,yodosulfuron-metil-natriya,Йодосульфурон-метил-натрия,60.0,г/кг
018-03-4906-1,Глок,mefenpir-dietila,Мефенпир-диэтила,60.0,г/кг
018-03-4906-1,Глок,florasulama,Флорасулама,150.0,г/кг
197-03(04)-4669-1,ГлюфАгро,glyufosinat-ammoniy,Глюфосинат аммоний,150.0,г/л
009-03-2242-1,Гоал 2Е,oksifluorfen,Оксифлуорфен,240.0,г/л
1005-03-10003-1,Гоал Голд,oksifluorfen,Оксифлуорфен,240.0,г/л
178-03(04)-2620-1,Голден Ринг,dikvat,Дикват,150.0,г/л
023(197)-03-4017-0,Голиаф,glifosat,Глифосат,540.0,г/л
197-03-9826-0,Голиаф,glifosat,Глифосат,540.0,г/л
156-03-3631-1,Голтикс Голд,metamitron,Метамитрон,700.0,г/л
156-03-3806-1,Голтикс Супер,metamitron,Метамитрон,350.0,г/л
156-03-3806-1,Голтикс Супер,etofumezat,Этофумезат,150.0,г/л
156-03-3714-1,Голтикс Титан,kvinmerak,Квинмерак,40.0,г/л
156-03-3714-1,Голтикс Титан,metamitron,Метамитрон,525.0,г/л
042(275)-03-737-1,Гольф,imazetapir,Имазетапир,100.0,г/л
126-01-4699-1,Гоплит,atsetamiprid,Ацетамиприд,95.0,г/л
126-01-4699-1,Гоплит,lyambda-tsigalotrin,Лямбда-цигалотрин,115.0,г/л
126-01-4699-1,Гоплит,tiametoksam,Тиаметоксам,65.0,г/л
021-03-4837-0,Горгон,mtspa,МЦПА,350.0,г/л
021-03-1726-1,Горгон,mtspa,МЦПА,350.0,г/л
021-03-4837-0,Горгон,pikloram,Пиклорам,150.0,г/л
021-03-1726-1,Горгон,pikloram,Пиклорам,150.0,г/л
446-03-1545-1,Гордон,prometrin,Прометрин,500.0,г/л
064-03-602-1,Горизонт,desmedifam,Десмедифам,71.0,г/л
064-03-602-1,Горизонт,fenmedifam,Фенмедифам,91.0,г/л
064-03-602-1,Горизонт,etofumezat,Этофумезат,112.0,г/л
181-01-3292-1,Готика,lyambda-tsigalotrin,Лямбда-цигалотрин,106.0,г/л
181-01-3292-1,Готика,tiametoksam,Тиаметоксам,141.0,г/л
642-04-3035-1,Готланд,dikvat-dibromida,Дикват дибромида,240.0,г/л
021-07-10047-0,Гравиэт,paklobutrazol,Паклобутразол,250.0,г/л
699-03-10061-1,Гразидим,kletodim,Клетодим,360.0,г/л
021-03-3360-1,Граминион,kletodim,Клетодим,150.0,г/л
082-03-10104-0,Гран-при,tribenuron-metil,Трибенурон-метил,750.0,г/кг
082-03-1070-1,"Гран-при, ВДГ",tribenuron-metil,Трибенурон-метил,750.0,г/кг
018-03-3901-1,Гранат,tribenuron-metil,Трибенурон-метил,750.0,г/кг
082-02-3554-1,Гранберг,tebukonazol,Тебуконазол,250.0,г/л
082-02-3846-1,Гранберг Про,propikonazol,Пропиконазол,300.0,г/л
082-02-3846-1,Гранберг Про,tebukonazol,Тебуконазол,200.0,г/л
192-03-2866-1,Гранд Плюс,tribenuron-metil,Трибенурон-метил,750.0,г/кг
082-02-2684-1,Грандсил,tebukonazol,Тебуконазол,60.0,г/л
082-02-3873-1,Грандсил Ультра,imazalil,Имазалил,20.0,г/л
082-02-3873-1,Грандсил Ультра,tebukonazol,Тебуконазол,45.0,г/л
082-02-3873-1,Грандсил Ультра,flutriafol,Флутриафол,75.0,г/л
489-03-2031-1,Гранстар Мега,tifensulfuron-metil,Тифенсульфурон-метил,250.0,г/кг
489-03-2031-1,Гранстар Мега,tribenuron-metil,Трибенурон-метил,500.0,г/кг
046-03-3694-1,Грант,imazamoks,Имазамокс,33.0,г/л
046-03-5058-1,Грант,imazamoks,Имазамокс,33.0,г/л
046-03-3694-1,Грант,imazapir,Имазапир,15.0,г/л
046-03-5058-1,Грант,imazapir,Имазапир,15.0,г/л
452-01-1598-1,Гранулам,lyambda-tsigalotrin,Лямбда-цигалотрин,240.0,г/кг
284-02-3267-1,Грануфло,tiram,Тирам,800.0,г/кг
046-03-3087-1,Грасс,s-metolahlor,С-метолахлор,312.5,г/л
046-03-5047-1,Грасс,s-metolahlor,С-метолахлор,312.5,г/л
046-03-3087-1,Грасс,terbutilazin,Тербутилазин,187.5,г/л
046-03-5047-1,Грасс,terbutilazin,Тербутилазин,187.5,г/л
046-03-4299-0,Граунд,glifosat,Глифосат,360.0,г/л
046-03-5027-0,Граунд,glifosat,Глифосат,360.0,г/л
181-03-4332-0,Граф,klokvintoset-meksil,Клоквинтосет-мексил,37.5,г/л
181-03-4332-0,Граф,pinoksaden,Пиноксаден,150.0,г/л
021-03-2335-1,Грейдер,imazapir,Имазапир,250.0,г/л
046-03-9852-0,Грейт,tifensulfuron-metil,Тифенсульфурон-метил,90.0,г/л
046-03-9852-0,Грейт,florasulam,Флорасулам,18.0,г/л
046-03-9852-0,Грейт,flumetsulam,Флуметсулам,24.0,г/л
278-03-4119-0,Гренадер,tribenuron-metil,Трибенурон-метил,750.0,г/кг
018-02-2806-1,Гренни,ditianon,Дитианон,350.0,г/л
184(040)-03-1516-1,Гренч,metsulfuron-metil,Метсульфурон-метил,600.0,г/кг
050(360)-03-1062-1,Гримс,rimsulfuron,Римсульфурон,250.0,г/кг
008-07-3511-1,Грин Дейл,yantarnaya-kislota,Янтарная кислота,25.0,г/л
1002-02-9963-0,ГринПауэр,piraklostrobin,Пираклостробин,250.0,г/л
082-01(02)-3947-1,Грифон,atsetamiprid,Ацетамиприд,100.0,г/л
082-01(02)-3947-1,Грифон,difenonokonazol,Дифеноноконазол,25.0,г/л
082-01(02)-3947-1,Грифон,fludioksonil,Флудиоксонил,25.0,г/л
177-08-3525-1,Гроза-3,metaldegid,Метальдегид,30.0,г/кг
012-08-4555-1,Гроза-6,metaldegid,Метальдегид,60.0,г/кг
012-01-760-1,Гром,diazinon,Диазинон,30.0,г/кг
012-01-761-1,Гром-2,diazinon,Диазинон,30.0,г/кг
012-01-4686-0,Гром-2М,imidakloprid,Имидаклоприд,20.0,г/кг
012-01-4735-1,Гром-М,imidakloprid,Имидаклоприд,20.0,г/кг
158-03-4463-1,Громстор,tribenuron-metil,Трибенурон-метил,750.0,г/кг
178-02-3685-1,Грэмми,hlorotalonil,Хлороталонил,500.0,г/л
549(004)-03-5021-1,Грэнери,tribenuron-metil,Трибенурон-метил,750.0,г/кг
039-02-2041-1,Гуапсин плюс,pseudomonas-aureofaciens,Pseudomonas aureofaciens,100000000000.0,КОЕ/Мл
971-03-4866-1,Гуарил,klopiralid,Клопиралид,750.0,г/кг
038(010)-03-4700-0,Губернатор,dikamba,Дикамба,480.0,г/л
038-03-460-1,Губернатор,dikamba,Дикамба,480.0,г/л
563-03-2341-1,Гуд-Харвест Метамитрон,metamitron-chzhangsu-gud-harvest-veyn-agrokemikal-ko-ltd,"Метамитрон) чжангсу гуд харвест вейн агрокемикал ко., лтд.",700.0,г/л
563-03-3012-1,Гуд-Харвест С-Метолахлор,s-metolahlor-chzhangsu-gud-harvest-veyn-agrokemikal-ko-ltd,"С-метолахлор) чжангсу гуд харвест вейн агрокемикал ко., лтд.",960.0,г/л
563-03-2342-1,Гуд-Харвест Свекольный Гербицид,desmedifam-chzhangsu-gud-harvest-veyn-agrokemikal-ko-ltd,"Десмедифам) чжангсу гуд харвест вейн агрокемикал ко., лтд.",71.0,г/л
563-03-2342-1,Гуд-Харвест Свекольный Гербицид,fenmedifam,Фенмедифам,91.0,г/л
563-03-2342-1,Гуд-Харвест Свекольный Гербицид,etofumezat,Этофумезат,112.0,г/л
283-07-3272-1,ГуматАктив,guminovyh-kislot-kalievye-soli,Гуминовых кислот калиевые соли,120.0,г/л
283-07-3272-1,ГуматАктив,fulvokisloty,Фульвокислоты,25.0,г/л
126-02-9603-1,ДВД Шанс,difenokonazol,Дифеноконазол,30.0,г/л
126-02-573-1,ДВД Шанс,difenokonazol,Дифеноконазол,30.0,г/л
126-02-9603-1,ДВД Шанс,tsiprokonazol,Ципроконазол,6.3,г/л
126-02-573-1,ДВД Шанс,tsiprokonazol,Ципроконазол,6.3,г/л
021-03-1794-1,ДУБЛОН Супер,dikamba,Дикамба,425.0,г/кг
021-03-1794-1,ДУБЛОН Супер,nikosulfuron,Никосульфурон,125.0,г/кг
753-01-3270-1,ДЩК,dinitril-schavelevoy-kisloty,Динитрил щавелевой кислоты,995.0,г/кг
192-02-3854-1,Даймонд Супер,difenokonazol,Дифеноконазол,30.0,г/л
192-02-3854-1,Даймонд Супер,tsiprokonazol,Ципроконазол,6.3,г/л
018-01-1407-1,Дакфосал,alyuminiya-fosfid,Алюминия фосфид,570.0,г/кг
018-03-2493-1,Дамба,dikamba,Дикамба,480.0,г/л
058-01-418-1,Данадим Пауер,gamma-tsigalotrin,Гамма-цигалотрин,6.4,г/л
058-01-418-1,Данадим Пауер,dimetoat,Диметоат,400.0,г/л
058-01-2879-1,Данадим Эксперт,dimetoat,Диметоат,400.0,г/л
070-03-3933-1,Дандрис,rimsulfuron,Римсульфурон,250.0,г/кг
062-03-3092-1,Девайс Ультра,imazamoks,Имазамокс,33.0,г/л
062-03-3092-1,Девайс Ультра,imazapir,Имазапир,15.0,г/л
184(026)-03-2262-1,Девиз,dikamba,Дикамба,480.0,г/л
148-03-860-1,Девринол,napropamid,Напропамид,450.0,г/л
825-03-3832-1,Дедало Элит,2-4-d,"2,4-Д",300.0,г/л
002-06-4228-1,Дедмайс,brodifakum,Бродифакум,0.05,г/кг
097-06-3885-1,Дедмайс,brodifakum,Бродифакум,2.5,г/л
018-02-4878-0,Дейзи,piraklostrobin,Пираклостробин,60.0,г/л
018-07-4869-0,Дейзи,piraklostrobin,Пираклостробин,60.0,г/л
018-02-4878-0,Дейзи,propikonazol,Пропиконазол,70.0,г/л
018-07-4869-0,Дейзи,propikonazol,Пропиконазол,70.0,г/л
018-02-4878-0,Дейзи,tebukonazol,Тебуконазол,70.0,г/л
018-07-4869-0,Дейзи,tebukonazol,Тебуконазол,70.0,г/л
021-03-4501-1,Деймос,dikamba,Дикамба,480.0,г/л
178-01-2201-1,Декстер,atsetamiprid,Ацетамиприд,115.0,г/л
178-01-2201-1,Декстер,lyambda-tsigalotrin,Лямбда-цигалотрин,106.0,г/л
178-01-3897-1,Декстер Турбо,atsetamiprid,Ацетамиприд,115.0,г/л
178-01-3897-1,Декстер Турбо,klotianidin,Клотианидин,70.0,г/л
178-01-3897-1,Декстер Турбо,lyambda-tsigalotrin,Лямбда-цигалотрин,106.0,г/л
015-02-2188-1,Делан,ditianon,Дитианон,700.0,г/кг
015-02-1649-1,Делан Про,ditianon,Дитианон,125.0,г/л
019-02-2880-1,Деларо,protiokonazol,Протиоконазол,175.0,г/л
019-02-2880-1,Деларо,trifloksistrobin,Трифлоксистробин,150.0,г/л
126-02-3855-1,Делатон,ditianon,Дитианон,700.0,г/кг
085-03-4803-0,Делегат,metsulfuron-metil,Метсульфурон-метил,600.0,г/кг
085(086)-03-445-1,Делегат,metsulfuron-metil,Метсульфурон-метил,600.0,г/кг
082-02-9832-0,Деликант,difenokonazol,Дифеноконазол,110.0,г/л
082-02-9832-0,Деликант,tebukonazol,Тебуконазол,50.0,г/л
389-02-1526-1,Делор,ditianon,Дитианон,700.0,г/кг
021-03-3504-1,Деметра,fluroksipir,Флуроксипир,350.0,г/л
561-01-2338-1,Демитан,fenazahin,Феназахин,200.0,г/л
018-08-4514-0,Деница,metaldegid,Метальдегид,60.0,г/кг
082-03-4353-1,Дентайр,imazamoks,Имазамокс,40.0,г/л
018-02-1860-1,Депозит,imazalil,Имазалил,40.0,г/л
018-02-1860-1,Депозит,metalaksil,Металаксил,30.0,г/л
018-02-1860-1,Депозит,fludioksonil,Флудиоксонил,40.0,г/л
018-02-3824-1,Депозит Суприм,imazalil,Имазалил,40.0,г/л
018-02-3824-1,Депозит Суприм,mefenoksam,Мефеноксам,15.0,г/л
018-02-3824-1,Депозит Суприм,fludioksonil,Флудиоксонил,40.0,г/л
018-03-9867-0,Депримо,yodosulfuron-metil-natriy,Йодосульфурон-метил-натрий,2.0,г/л
018-03-9867-0,Депримо,tembotrion,Темботрион,100.0,г/л
018-03-9867-0,Депримо,tsiprosulfamid,Ципросульфамид,40.0,г/л
009-03-2762-1,Дерби 175,florasulam,Флорасулам,75.0,г/л
009-03-2762-1,Дерби 175,flumetsulam,Флуметсулам,100.0,г/л
866-03-4648-0,Дерби КА,florasulam,Флорасулам,75.0,г/л
866-03-4648-0,Дерби КА,flumetsulam,Флуметсулам,100.0,г/л
004(549)-02-5004-1,Дерозал Евро,karbendazim,Карбендазим,500.0,г/л
549-04-9930-0,Десикант Дибромид,dikvata-dibromida,Диквата дибромида,150.0,г/л
004(549)-04-5001-1,Десикант Экспертоф,dikvat,Дикват,150.0,г/л
046-04-4711-0,Десикат Супер,dikvat,Дикват,280.0,г/л
046-04-2383-1,Десикат Супер,dikvat,Дикват,150.0,г/л
046-04-5077-0,Десикат Супер,dikvat,Дикват,280.0,г/л
201-03-1686-1,Десперадо,mezotrion,Мезотрион,480.0,г/л
