reg_no,name,kind,use_product,registrant,ogrn,reg_date,reg_until,status,n_brands,brands
098-10-553-1,Жидкие минеральные удобрения «ПОЛИДОН»,комплексное NPK,ЛС,ООО «ПОЛИДОН Агро»,1127747201713,12.02.2015,11.02.2025,Не действует,4,ПОЛИДОН N+ | ПОЛИДОНNPK | ПОЛИДОНNP | ПОЛИДОНPK
387(388)-11-1210-1,Жидкие хелатные удобрения ОРГАНОМИКС,микроудобрение,ЛС,ЗАО «ПЕТРОХИМ»,1023101648800,05.09.2016,04.09.2026,Не действует,10,Цинк | Железо | Бор | Универсальное | Для овощных культур | Для плодово-ягодных культур | Для зерновых культур | Для бобовых культур | Для масличных культур | Для декоративных культур
345-11-2990-1,Жидкое Комплексное Удобрение Фертика,комплексное NPK,C,АО «Фертика»,1097746681317,22.01.2021,21.01.2031,Действует,11,"Фертика Кристалон для Гортензий и Азалий | Фертика Кристалон для Клубники и Земляники | Фертика Кристалон для Орхидей | Фертика Кристалон для Пальмовых, Фикусов, Драцен, Юкк | Фертика Кристалон для Роз | Фертика Кристалон для Садовых цветов | Фертика Кристалон для Фиалок | Фертика Кристалон для Хвойных | Фертика Кристалон для Цитрусовых | Фертика Кристалон для Газона | Фертика Люкс для Овощей и Рассады, Фертика Люкс для Комнатных и Балконных растений"
345-11-4387-1,Жидкое Комплексное удобрение Фертика Хвойное для Вечнозеленых,комплексное NPK,Л,АО «Фертика»,1097746681317,26.01.2024,бессрочно,Действует,0,
393-18-2412-1,Жидкое гуминовое удобрение,гумат,ЛС,ООО «ПИТЭР ПИТ»,1105027003795,30.09.2019,29.09.2029,Действует,2,Питэр Пит | Живая сила
,Жидкое комплексное микроудобрение Зеромикс,микроудобрение,ЛС,ООО «Резерв»,1082224012738,29.07.2015,28.07.2025,Не действует,1,"Зеромикс, Зеромикс Гамма, Зеромикс Альфа, Зеромикс Сигма, Зеромикс Омега, Зеромикс Бета"
464-10-1673-1,Жидкое комплексное минеральное удобрение,комплексное NPK,Л,ООО «ПИТЭР ПИТ»,1105027003795,25.12.2017,24.12.2027,Действует,3,А | Б | В
503-11-1973-1,Жидкое комплексное минеральное удобрение Агропроф,комплексное NPK,C,ООО «ФДМПРОМГРУПП»,1145256006708,26.07.2018,25.07.2028,Действует,2,Агропроф Семена – предпосевная обработка | Агропроф – некорневая подкормка
182-11-2899-1,Жидкое комплексное минеральное удобрение Волски Диформы,микроудобрение,ЛС,ООО «Волски Биохим»,1025202846734,27.11.2020,26.11.2030,Действует,8,Диформа Бор-Молибден | Диформа Магний-Цинк | Диформа Магний-Марганец | Диформа Марганец-Бор | Диформа Марганец-Цинк | Диформа Кальций-Азот | Диформа Кремний-Калий | Диформа Кобальт-Селен
444-21-1592-1,Жидкое комплексное минеральное удобрение Волски Микрокомплекс,микроудобрение,ЛС,ООО «Волски Биохим»,1025202846734,07.11.2017,06.11.2027,Действует,2,Микромак | Микроэл
973-10-4875-1,Жидкое комплексное минеральное удобрение Основа,комплексное NPK,C,Залуцкий Марк Олегович,316385000061694,26.05.2025,бессрочно,Действует,0,
182-11-2855-1,Жидкое комплексное минеральное удобрение Страда,комплексное NPK,ЛС,ООО «Волски Биохим»,1025202846734,26.10.2020,25.10.2030,Действует,3,Страда N | Страда Р | Страда К
466-10-1676-1,Жидкое комплексное минеральное удобрение Турмакс,комплексное NPK,,ООО «ПлантаПлюс»,1047000204096,29.12.2017,28.12.2027,Действует,8,Турмакс универсальный – концентрат | Турмакс овощной | Турмакс рассада | Турмакс садовые цветы | Турмакс для хвойных | Турмакс для злаков и газонов | Турмакс универсальный – готовый раствор | Турмакс комнатные растения
382-11-4942-1,Жидкое комплексное удобрение,комплексное NPK,Л,ОАО «БХЗ»,,04.07.2025,бессрочно,Действует,10,Цветочный рай универсальный | Цветочный рай для цветущих растений | Цветочный рай для декоративно-лиственных растений | Цветочный рай для декоративных хвойных растений | Волшебная лейка универсальная | Волшебная лейка для ягодных и плодовых культур | Волшебная лейка для рассады | Чудо-спрей универсальный | Чудо-спрей для цветущих растений | Чудо-спрей для декоративно-лиственных растений
804-11-3615-1,Жидкое комплексное удобрение Полиплата,комплексное NPK,ЛС,ООО «ХЭБАРАГИ»,1167746577217,11.04.2022,бессрочно,Действует,14,Полиплата Наномикс | Полиплата Макс-НК | Полиплата Альфа | Полиплата Сайкурон | Полиплата Л-плант | Полиплата Верде | Полиплата Макс-Бак | Полиплата Унби | Полиплата Макс-Н | Полиплата Аргинтэво | Полиплата Аргетт | Полиплата Зиларра | Полиплата Макс-ПК | Полиплата Ультра
345-11-2989-1,Жидкое комплексное удобрение Фертика Лив Пауэр,комплексное NPK,Л,АО «Фертика»,1097746681317,23.01.2021,22.01.2031,Действует,4,Фертика Лив Пауэр Универсальное | Фертика Лив Пауэр для лиственных | Фертика Лив Пауэр для цветов | Фертика Лив Пауэр для орхидей
182-11-3987-1,Жидкое комплексное удобрение Экомак,комплексное NPK,ЛС,ООО «Волски Биохим»,1025202846734,20.02.2023,бессрочно,Действует,0,
187-11-1976-1,Жидкое комплексное удобрение с микроэлементами Мегавит Н,микроудобрение,C,ООО МИНАГРО,1125252001423,07.08.2018,06.08.2028,Действует,6,Мегавит Н – предпосевная обработка яровые зерновые | Мегавит Н – предпосевная обработка зернобобовые | Мегавит Н – предпосевная обработка масличные | Мегавит Н – предпосевная обработка картофель | Мегавит Н – предпосевная обработка озимые зерновые | Мегавит Н – некорневая подкормка
547-11-2196-1,Жидкое комплексное хелатное удобрение Металлоцен,микроудобрение,ЛС,ООО «НПО «БИОХИМСЕРВИС»,1101690004261,09.04.2019,08.04.2029,Действует,6,Универсал | А | В | С | Д | Е
896-20-4270-1,Жидкое концентрированное гуминовое биоудобрение Биониум,гумат,ЛС,ООО ИНТЕРКРОС ЦЕНТР,1107746079308,17.11.2023,16.11.2033,Действует,0,
098-11-9990-1,Жидкое микроэлементное удобрение ПОЛИДОН КАЛИЙ ПЛЮС,микроудобрение,C,ООО «ПОЛИДОН Агро»,1127747201713,02.06.2026,бессрочно,Действует,0,
098-11-9915-1,Жидкое микроэлементное удобрение ПОЛИДОН ПОЛИДОН МЕДЬ,микроудобрение,ЛС,ООО «ПОЛИДОН Агро»,1127747201713,21.04.2026,бессрочно,Действует,3,ПОЛИДОН МЕДЬ | ПОЛИДОН БОР | ПОЛИДОН МОЛИБДЕН
098-11-9914-1,Жидкое микроэлементное удобрение ПОЛИДОН ПОЛИДОН СЕРА,микроудобрение,ЛС,ООО «ПОЛИДОН Агро»,1127747201713,21.04.2026,бессрочно,Действует,10,ПОЛИДОН ЦИНК | ПОЛИДОН МАРГАНЕЦ | ПОЛИДОН ЖЕЛЕЗО | ПОЛИДОН МАГНИЙ | ПОЛИДОН СЕРА | ПОЛИДОН КОМПЛЕКС | ПОЛИФАЙТ | ПОЛИЦИНК | ПОЛИДОН ЙОД | ПОЛИДОН КАЛЬЦИЙ
772-11-3342-1,Жидкое минеральное полимерное удобрение Зеленит,стимулятор / жидкое комплексное,ЛС,ООО «ПОЛИМЕРОРГСИНТЕЗ»,1077847456455,21.10.2021,20.10.2031,Действует,4,А | Б | В | Г
1003-15-9967-1,Жидкое минеральное удобрение Агроконтакт,стимулятор / жидкое комплексное,C,"ООО ""АГРОКОНТАКТ""",1166820063486,22.05.2026,бессрочно,Действует,0,
562-11-2334-1,Жидкое минеральное удобрение Актив,стимулятор / жидкое комплексное,,ООО «АГРОХИМ ТЕХНОЛОГИЯ»,1165275042646,25.07.2019,24.07.2029,Действует,5,Семена | Рост | Азот | Бобовые | Рапс
562-11-10071-1,Жидкое минеральное удобрение Актив Калий,микроудобрение,ЛС,ООО «АГРОХИМ ТЕХНОЛОГИЯ»,1165275042646,10.08.2026,бессрочно,Действует,6,Бор | Цинк | Калий | Фосфор | Сера | Молибден
434-11-1491-1,Жидкое минеральное удобрение Витанолл,микроудобрение,ЛС,ООО «АГРОМАРКЕТ 24»,,03.05.2017,02.05.2027,Действует,4,N | NP | PK | Микро
182-11-3913-1,Жидкое минеральное удобрение Волски Моноформы,микроудобрение,ЛС,ООО «Волски Биохим»,1025202846734,19.12.2022,бессрочно,Действует,5,Волски Моно-Бор | Волски Моно-Цинк | Волски Моно-Медь | Волски Моно-Железо | Волски Моно-Сера
098-11-9816-1,Жидкое минеральное удобрение ПОЛИДОН ПОЛИДОН NP,комплексное NPK,ЛС,ООО «ПОЛИДОН Агро»,1127747201713,06.03.2026,бессрочно,Действует,4,ПОЛИДОН N+ | ПОЛИДОН NPK | ПОЛИДОН NP | ПОЛИДОН PK
963-11-4813-1,Жидкое минеральное удобрение Эльиксир,микроудобрение,ЛС,"ООО ""ЦЕНТР РЕГИСТРАЦИИ""¶",1227700360568,26.02.2025,бессрочно,Действует,8,Эльиксир Цинк | Эльиксир Медь | Эльиксир Марганец | Эльиксир Железо | Эльиксир Бор | Эльиксир Молибден | Эльиксир Кальций | Эльиксир Магний
535-13-2150-1,Жидкое органо-минеральноеудобрение Про Ферт,микроудобрение,C,АО «Группа компаний «ПРОАГРО»,1157746875109,06.03.2019,05.03.2029,Действует,9,ПроБор 150 | ПроЦинк 130 | Силицин 240 | ПроФерт Нарцисс | АлгаФлекс | Стронг Рут | Амино Ацид | Кальций Амино | Микро Амино
995-13-9905-1,"Жидкое органоминеральное удобрение ""Биотенс"" Биокомплекс",гумат,C,"ООО ""САИН""",1143668025687,15.04.2026,14.04.2036,Действует,14,Активный Рост | Биокомплекс | Антистресс Зерновые | Антистресс Зернобобовые | Антистресс Масличные | Антистресс Сахарная свекла | Антистресс Мегамикс | Экстра Гумат | Экстра Бор | Экстра Цинк | Экстра Молибден | Экстра Фосфор | Экстра Сера | Экстра Комплекс
350-13-975-1,Жидкое органоминеральное удобрение Гелиос,микроудобрение,ЛС,ООО «Челныагрохим»,,17.02.2016,16.02.2026,Не действует,14,Азот | Калий | Супер | Трио | БорМолибден | Цинк | Сера | ФосфорКалий | Марганец | Медь | Молибден | Кремний | Магний | Кальций
764-13-3317-1,Жидкое органоминеральное удобрение Клондайк,микроудобрение,C,ООО «СТАТУС»,1133443020480,24.09.2021,23.09.2031,Действует,5,Х | Прайм | Премиум | Кальций | Бор
987-13-9673-1,Жидкое органоминеральное удобрение ЛАЙФ ФОРС РЕАСИЛ Амино Цинк,гумат,ЛС,"ООО ""ЛАЙФ ФОРС ГРУПП""",1166451074327,14.11.2025,13.11.2035,Действует,20,Ранний Старт | Активное Развитие | Гумаспорин | Амино Бор/Молибден | Качество и Вкус | Семя Старт | Комбо Актив | Гуматкалия/натрия с микроэлементами | Микро Микс | Амино Медь | Амино Цинк | Амино Марганец | Амино Железо | Амино Молибден | Амино Бор | Амино Кальций | Амино Магний | Гумат Антистресс | Амино Сера | Амино Калий/Фосфор
424-13-3613-1,Жидкое органоминеральное удобрение Лобстерр++,стимулятор / жидкое комплексное,ЛС,ООО «ГРАНУМ»,1147746366261,11.04.2022,10.04.2032,Действует,0,
582-13-2443-1,Жидкое органоминеральное удобрение Микро АС,комплексное NPK,,ООО НПП РЕГИОН АГРОПРОДУКТ,1144620000030,30.10.2019,29.10.2029,Действует,15,Универсальный 3-3-3+МЭ | Старт (N-азот) 15-0-0 | Комплекс 5-1-1+МЭ | Железо-9-1-1+Fe | Цинк 5-1-1+Mn | Марганец 5-1-1+Mn | Кремний 5-1-1+Si | Бор 1-0-0+В | Молибден 5-1-1+Мо | Пристимул 1-0-0+МЭ | Пристимул Био 1-0-0 | Зерновой 3-1-2+МЭ | Свекловичный 2-2-4+МЭ | Масличный 1-3-3+МЭ | Пивоваренный ячмень 1-1-5+МЭ
098-13-1591-1,Жидкое органоминеральное удобрение Полидон Амино,микроудобрение,ЛС,ООО «ПОЛИДОН Агро»,1127747201713,07.11.2017,06.11.2027,Действует,15,Полидон Амино Кальций | Полидон Амино Магний | Полидон Амино Цинк | Полидон Амино Железо | Полидон Амино Марганец | Полидон Амино Микс | Полидон Амино Бор-Молибден | Полидон Амино Цинк-Бор | Полидон Амино Кальций-Бор | Полидон Амино Цинк-Марганец | Полидон Амино Плюс | Полидон Амино NPK | Полидон Амино Бигсайз | Полидон Амино Старт | Полидон Амино Финиш
818-13-3682-1,Жидкое органоминеральное удобрение Простор,микроудобрение,ЛС,ИП ПАРФЕНОВА ЕКАТЕРИНА АЛЕКСАНДРОВНА,308165010000023,13.05.2022,12.05.2032,Действует,14,Бор | Цинк | Сера | ФосфорКалий | Марганец | Медь | Молибден | Кремний | Магний | Кальций | Азот | Калий | Старт | Сила
378-13-1155-1,Жидкое органоминеральноеудобрение Агрис,гумат,ЛС,ООО «СОЮЗХИМ КО»,1084312000486,12.07.2016,11.07.2026,Не действует,24,Азот | АзотКалий | Аминовит | Форсаж | Бор | Фосфор | Магний | Цинк | Железо | Медь | Кремний | Молибден | Сера | Кальций | Кальций Лайт | Макс | Бор Плюс | Азот 32 | Азот 32 М | Бор Макс | Аминогумат | Импульс | Лигноамин | Рост
098-10-3956-1,Жидкое удобрение Полидон Тио,калийное,ЛС,ООО «ПОЛИДОН Агро»,1127747201713,18.01.2023,бессрочно,Действует,3,Полидон Тио Кальций | Полидон Тио Магний | Полидон Тио Калий
187-11-4636-1,Жидкое удобрение с микроэлементами Мегавит Моноформы,микроудобрение,C,ООО МИНАГРО,1125252001423,18.07.2024,бессрочно,Действует,8,Мегавит-Бор | Мегавит-Цинк | Мегавит-Сера | Мегавит-Марганец | Мегавит-Фосфор | Мегавит-Железо | Мегавит-Медь | Мегавит-Молибден
476-21-1874-1,Жидкое хелатное микроудобрение Ревитаплант,микроудобрение,ЛС,ООО «Центр Биохимических Технологий»,1114823013348,18.04.2018,17.04.2028,Действует,17,Зерновые (обработка семян) | Зерновые (листовая подкормка) | Кукуруза | Подсолнечник | Крестоцветные | Бобовые | Свекла | Сад-огород | Картофель | Магний | Железо | Медь | Молибден | Марганец | Цинк | Бор | Сера
099-13-1879-1,Жусс,микроудобрение,C,ООО «Урожай XXI»,1057747982874,20.04.2018,19.04.2028,Действует,8,БМ | Активный кремний | Аргентум Агро | Активная кислота | Гумикс | Аква | Комплексный Бор Цинк | Макро
016-14-9730-1,ЗЕМЛЯ-МАТУШКА Фиалка-Герань,комплексное NPK,Л,ООО «НВП «БашИнком»,1020202557121,17.12.2025,16.12.2035,Действует,8,"Универсальная для рассады, зелени и цветов | Фикус-Пальма | Лианы | Кактус-Алоэ | Фиалка-Герань | Лимон-Мандарин | Цветочная-Универсальная | Мульча-Разрыхлитель"
507-18-2006-1,ЗСС (ЗСБ)-У,прочее,ЛС,ИП Дылева Лидия Венедиктовна,304264536500310,14.09.2018,13.09.2028,Действует,0,
033-20-1483-1,Зацветай,прочее,Л,ООО «ОРТОН»,1025004916573,26.04.2017,25.04.2027,Действует,0,
835-18-3814-1,Здоровый урожай,прочее,ЛС,ООО «АГРАРНЫЕ ТЕХНОЛОГИИ»,1043801025982,05.10.2022,04.10.2032,Действует,0,
008-13-3338-1,Здравень Идеальный жидкое комплексное органоминеральное удобрение,комплексное NPK,Л,ООО «Ваше хозяйство»,1025203566728,19.10.2021,18.10.2031,Действует,0,
008-13-2900-1,"Здравень-аква для рассады цветочных, овощных и зеленных культур",стимулятор / жидкое комплексное,,ООО «Ваше хозяйство»,1025203566728,02.12.2020,01.12.2030,Действует,19,"Здравень-аква для комнатных цветов | Здравень-аква для молодых побегов орхидей | Здравень-аква для петуний и астр | Здравень-аква для подкормки орхидей зимой | Здравень-аква для роста корней орхидей | Здравень-аква для стимулирования цветения орхидей | Здравень-аква для внекорневых подкормок картофеля | Здравень-аква для газонов | Здравень-аква для капусты | Здравень-аква для корнеплодов | Здравень-аква для лука и чеснока | Здравень-аква для плодовых деревьев | Здравень-аква для подкормки огурцов, тыквенных, бахчевых культур | Здравень-аква для подкормки томатов и перцев | Здравень-аква для рассады цветочных, овощных и зеленных культур | Здравень-аква для садовых декоративных и хвойных культур | Здравень-аква для садовых цветов | Здравень-аква для ягодников и ягодных культур | Здравень-аква – антистресс регенератор листьев"
126-19-9776-1,Зеленая Анхана,прочее,C,"ООО ""ШАНС""",1093668046812,23.01.2026,22.01.2036,Действует,0,
016-14-932-1,Земля матушка,комплексное NPK,Л,ООО «НВП «БашИнком»,1020202557121,25.12.2015,24.12.2025,Не действует,8,"Универсальный для рассады, зелени и цветов | Фикус-Пальма | Лианы | Кактус-Алоэ | Фиалка-Герань | Лимон-Мандарин | Цветочная-Универсальная | Мульча-Разрыхлитель"
521-11-2109-1,Идрофлорал Плюс,комплексное NPK,ЛС,ЧИФО С.Р.Л.,,06.02.2019,05.02.2029,Действует,5,20-20-20 | 18-18-18 | 15-5-30 | 13-40-13 | 14-11-22+8Сао
041-20-2378-1,Изабион,биоудобрение,ЛС,"ООО ""СИНГЕНТА""",1037739325271,09.09.2019,08.09.2029,Действует,0,
190-10-4370-0,Изагри-К,микроудобрение,ЛС,ООО «ИЗАГРИ»,1227700017742,23.01.2024,22.01.2027,Действует,6,Форс Питание | Азот | Фосфор | Калий | Бор | Калий Плюс
190-11-3856-1,Изагри-Л,микроудобрение,ЛС,ООО «ИЗАГРИ»,1227700017742,03.11.2022,бессрочно,Действует,5,Калий-Кремний | Кальций | Сера | Молибден | Железо
190-13-4059-1,Изагри-М,микроудобрение,ЛС,ООО «ИЗАГРИ»,1227700017742,04.04.2023,03.04.2033,Действует,5,Форст Рост | Вита | Вита Плюс | Цинк | Медь
190-11-3857-1,Изагри-Н,микроудобрение,C,ООО «ИЗАГРИ»,1227700017742,03.11.2022,бессрочно,Действует,4,Марганец | Магний | Марганец-Фосфор | Магний-Цинк
978-12-4954-1,Известковый дефекат,кальциевое / известкование,ЛС,"ООО ""БУИНСКИЙ САХАР""",,24.07.2025,23.07.2035,Действует,0,
849-12-3900-1,Известковый материал (дефекат),кальциевое / известкование,ЛС,АО «СЕРГАЧСКИЙ САХАРНЫЙ ЗАВОД»,1135229000500,13.12.2022,12.12.2032,Действует,0,
645-12-5026-1,Известковый мелиорант для почв-1,кальциевое / известкование,C,САХАРНЫЙ ЗАВОД СВОБОДА АО,1022304972711,13.06.2023,12.06.2033,Действует,0,
623-12-2722-1,"Известняк для раскисленияапочв длительного действия, серии Уральский Дачник",кальциевое / известкование,Л,ООО ГЕТЕРОЗИСНАЯ СЕЛЕКЦИЯ,1167456060925,02.07.2020,01.07.2030,Действует,0,
821-12-3689-1,Известняковая (доломитовая мука),кальциевое / известкование,ЛС,ООО «ИНДОРСТРОЙ»,1142130016489,19.05.2022,18.05.2032,Действует,0,
821-12-5088-1,Известняковая (доломитовая мука),кальциевое / известкование,ЛС,ООО «ИНДОРСТРОЙ»,1142130016489,25.08.2025,18.05.2032,Действует,0,
494-12-1939-1,Известняковая мука,кальциевое / известкование,ЛС,ООО «ВЗП ЗАВОЛЖЬЯ»,1091673001750,31.05.2018,30.05.2028,Действует,0,
680-12-3079-1,Известняковая мука,кальциевое / известкование,ЛС,ООО ФЕНИКС+,1070228000127,31.03.2021,30.03.2031,Действует,0,
704-12-3160-1,Известняковая мука,кальциевое / известкование,ЛС,ООО КАЗАЯКСКИЙ КАРЬЕР,1020203224964,27.05.2021,26.05.2031,Действует,0,
740-12-3236-1,Известняковая мука,кальциевое / известкование,ЛС,ООО «УДМУРТАГРОХИМ»,1101841004957,21.07.2021,20.07.2031,Действует,0,
732-12-3227-1,Известь дефекационная,кальциевое / известкование,ЛС,ПАО «ДОБРИНСКИЙ САХАРНЫЙ ЗАВОД»,1024800567153,16.07.2021,15.07.2031,Действует,0,
832-12-3799-1,Известь дефекационная,кальциевое / известкование,ЛС,ПРОМСАХАР,1024600742341,19.09.2022,18.09.2032,Действует,0,
624-12-2730-1,Известь дефекационная – мелиорант,кальциевое / известкование,C,АО АВРОРА,1024800827699,06.07.2020,05.07.2030,Действует,0,
016-13-931-1,Известь-Гуми,кальциевое / известкование,Л,ООО «НВП «БашИнком»,1020202557121,25.12.2015,24.12.2025,Не действует,0,
016-13-9723-1,Известь-Гуми,кальциевое / известкование,Л,ООО «НВП «БашИнком»,1020202557121,11.12.2025,10.12.2035,Действует,0,
857-12-3977-1,"Известьсодержащий материал для рекультивации земель, известкования и улучшения почвогрунтов",грунт / субстрат,ЛС,АО «УЛЬЯНОВСКИЙ САХАРНЫЙ ЗАВОД»,1027301055770,06.02.2023,05.02.2033,Действует,0,
630-10-3904-1,ИммуноФит,прочее,C,УАБ Икараи,,13.12.2022,бессрочно,Действует,2,ИммуноФит | ИммуноФит Про
693-11-4604-1,Инкриа,прочее,ЛС,Столлер Европа СЛЮ,,13.06.2024,бессрочно,Действует,4,Сэтт | Эквалайзер | Рут Фид | Мультиселл
082-11-4702-1,Инстал,комплексное NPK,ЛС,"ООО ""ИНТЕР ГРУПП""",1084312000420,24.10.2024,бессрочно,Действует,9,"Виктус 13-40-13 | Виктус 19-6-20 | Виктус 15-5-30 | Виктус 12-12-36 | Виктус 7,5-12-36 | Виктус 6-12-36 | Виктус 3-11-38 | Виктус 14-11-31 | Виктус 18-18-18"
630-13-3973-1,Интенс,комплексное NPK,C,УАБ Икараи,,02.02.2023,01.02.2033,Действует,4,"Интенс NPK 0,7-22-29+МЭ | NPK 4-17-22+МЭ | NPK 0,1-42-9 | Менделениум"
359-10-2455-1,Интермаг Огород,прочее,ЛС,ООО «ИНТЕРМАГ сп.з.о.о,,11.12.2019,10.12.2029,Действует,8,"Корнеплодные | Луковичные | Капустные | Огурцы, орхидея, клематис, пеларгонии, декоративно-цветущие | Клубника, малина, помидоры | Примус-Семена | РК 10:18 | Нитромаг-370"
359-13-2247-1,Интермаг Профи,прочее,,ООО «ИНТЕРМАГ сп.з.о.о,,28.05.2019,27.05.2029,Действует,6,Зерновые | Олеистые | Свекла | Стручковые и Бобовые | Картофель | Кукуруза
359-10-2456-1,Интермаг Элемент,микроудобрение,C,ООО «ИНТЕРМАГ сп.з.о.о,,05.11.2019,04.11.2029,Действует,9,Бор | Фосфор | Кальций | Молибден | Титан | Сера-450 | Калий-300 | Микро | Микро-Плюс
499-21-1957-1,Истарка,микроудобрение,C,"Микс,(С) Fe, (С) Mn, (С) Zn, (С) Zn-Mn, (С) Ca, (Л, С) Mg, (C,ЛС) Кемикас Меристем, С.Л.",,04.07.2018,03.07.2028,Действует,7,Микс | Fe | Mn | Zn | Zn-Mn | Ca | Mg
484-19-2004-1,Италполлина микробио,биоудобрение,ЛС,«ИТАЛПОЛЛИНА С.П.А»,,01.10.2018,30.09.2028,Действует,5,Коверон | Коверон Бобовые | Тифи | Клик | Эджис Микрогранулы
292-13-2128-1,Йелд ОН,прочее,C,Валагро С.п.А.,,22.02.2019,21.02.2029,Действует,0,
298-19-1312-1,КЖФ,прочее,,ООО «Петербургские Биотехнологии»,1057810145084,23.12.2016,22.12.2026,Действует,5,КЖФ | РЖФ | ФЖФ | АЖФ | МЖФ
2128-11-202-011-0-0-0-1,Калий азотнокислый (нитрат калия),калийное,C,ООО «САФ-НЕВА»,,01.02.2021,31.01.2031,Действует,0,
382-10-2986-1,Калий азотнокислый (нитрат калия),калийное,ЛС,"ОАО ""БХЗ""",1024401232382,22.01.2021,21.01.2031,Действует,0,
263-17-1994-1,Калий нитрат,калийное,C,АО «Невинномысский Азот»,1022603620885,25.09.2018,24.09.2028,Действует,0,
445-11-2292-1,Калий сернокислый,калийное,C,АО «АПАТИТ»,1025100561012,10.07.2017,09.07.2027,Действует,2,А | Б
919-17-4443-1,Калий сернокислый,калийное,C,АО РУСАЛАчинск,1022401155325,06.03.2024,бессрочно,Действует,3,Водорастворимый | Для внекорневой подкормки | Бесхлорный
382-17-4729-1,Калий сернокислый (сульфат калия),калийное,C,"ОАО ""БХЗ""",1024401232382,26.11.2024,бессрочно,Действует,1,"А, Б, В"
290-11-623-1,Калий сернокислый (сульфат калия) очищенный,калийное,ЛС,ОАО «БХЗ»,,06.04.2015,05.04.2025,Не действует,0,
338-10-876-1,Калий хлористый,калийное,ЛС,ПАО «Уралкалий»,1025901702188,09.12.2015,08.12.2025,Не действует,2,гранулированный | мелкий
423-10-1477-1,Калий хлористый,калийное,C,АО «МИНЕРАЛЬНО-ХИМИЧЕСК АЯ КОМПАНИЯ «ЕВРОХИМ»,1027700002659,24.04.2017,23.04.2027,Действует,2,гранулированный | мелкий
488-17-1913-1,Калий хлористый,калийное,C,ООО «ФосАгро-Орел»,1025702255897,16.05.2018,15.05.2028,Действует,2,гранулированный | мелкий
338-10-1603-1,Калий хлористый (для экспорта),калийное,C,ПАО «Уралкалий»,1025901702188,21.11.2017,20.11.2027,Действует,4,Еврогран | Г | Н | О
338-10-875-1,Калий хлористый 98 %,калийное,ЛС,ПАО «Уралкалий»,1025901702188,09.12.2015,08.12.2025,Не действует,0,
338-17-9638-1,Калий хлористый 98%,калийное,C,ПАО «Уралкалий»,1025901702188,16.10.2025,бессрочно,Действует,0,
338-17-9641-1,"Калий хлористый Гранулированный,Мелкий",калийное,C,ПАО «Уралкалий»,1025901702188,17.10.2025,17.10.2035,Действует,2,Гранулированный | Мелкий
679-17-3089-1,Калий хлористый гранулированный,калийное,C,ООО ИНКО-ТЭК АГРО АЛАБУГА,1171690053732,02.04.2021,01.04.2031,Действует,0,
879-17-4194-1,Калий хлористый гранулированный 60%,калийное,C,ООО ТЕРМИНАЛ-ЛЫСЬВА,1135918000701,05.09.2023,бессрочно,Действует,0,
958-17-4781-1,Калий хлористый марка Мелкий,калийное,C,ООО «ИНК-ЛИТИЙ»,,20.01.2025,бессрочно,Не действует,1,Мелкий
357-10-1047-1,Калий хлористый электролитный,калийное,C,ПАО «КОРПОРАЦИЯ ВСМПО-АВИСМА»,1026600784011,23.03.2016,22.03.2026,Не действует,0,
290-11-703-1,Калимагнезия,калийное,ЛС,ОАО «БХЗ»,,15.07.2015,14.07.2025,Не действует,0,
382-10-4949-1,Калимагнезия,калийное,ЛС,"ОАО ""БХЗ""",1024401232382,22.07.2025,бессрочно,Действует,0,
730-17-3217-1,Калия хлорид,прочее,C,ОАО «СОЛИКАМСКИЙ МАГНИЕВЫЙ ЗАВОД»,1025901972580,14.07.2021,13.07.2031,Действует,2,Г | Д
292-11-4395-1,Кальбит С,прочее,C,Валагро С.п.А.,,30.01.2024,бессрочно,Действует,0,
755-12-9706-1,Кальцигран,кальциевое / известкование,ЛС,АО «УПРАВЛЕНИЕ ТЕХНОЛОГИЯМИ»,1117746243581,04.12.2025,03.12.2035,Действует,0,
211-15-2985-1,Кальциевая селитра,азотное,ЛС,ПАО «Акрон»,1025300786610,21.01.2021,20.01.2031,Действует,0,
912-10-4425-1,Кальций хлористый,кальциевое / известкование,C,ООО ГАЛОПОЛИМЕР КИРОВО-ЧЕПЕЦК,1034313509108,21.02.2024,бессрочно,Действует,2,А | Б
914-17-4426-1,Кальций хлористый гранулированный розовый,кальциевое / известкование,C,ООО ПКФ «БРЯНСКАГРОХИМ»,1153256016638,21.02.2024,бессрочно,Действует,0,
321-11-1352-1,Кальцийазотосульфат,кальциевое / известкование,ЛС,АО «ОХК» «УРАЛХИМ»,1077761874024,26.01.2017,25.01.2027,Действует,0,
287-13-590-1,Канна,прочее,ЛС,ООО «Хортисол»,,10.03.2015,09.03.2025,Не действует,6,Канна Аква Флорес А+Б | Канна Аква Вега А+Б | Канна Терра Флорес | Канна Терра Вега | Канна Коко А+Б | Канна ПК 13/14
287-13-601-1,Канна Гидро,прочее,ЛС,ООО «Хортисол»,,23.03.2015,22.03.2025,Не действует,4,Канна Гидро Флорес А+Б (хард) | Канна Гидро Флорес А+Б (софт) | Канна Гидро Вега А+Б (хард) | Канна Гидро Вега (софт)
287-13-557-1,Канна Плюс,прочее,ЛС,ООО «Хортисол»,,16.02.2015,15.02.2025,Не действует,2,Канна Плюс Канназим | Канна Плюс Каннабуст
