reg_no,name,slug,form,conc,klass,registrant,ogrn,hazard_human,hazard_bees,reg_date,reg_until,status,has_lph
012-01-5025-1,Аркана,arkana,КС,240 г/л Тиаметоксам,инсектицид,ООО Фирма «Зеленая Аптека Садовода»,1037700040564,III,I,09.06.2023,08.06.2033,Действует,1
082-02-4343-1,Армадекс,armadeks,КС,500 г/л Карбендазим,фунгицид,ООО «Интер Групп»,1084312000420,II,III,28.12.2023,27.12.2033,Действует,0
606-01-3745-1,Армин,armin,КЭ,100 г/л Альфа-ципермeтрин,инсектицид,Батор Агри Кфт.,,II,I,15.12.2014,14.12.2024,Не действует,0
051-01-668-1,Арриво,arrivo,КЭ,250 г/л циперметрин,инсектицид,ФМС Кемикал,,II,I,22.05.2015,21.05.2025,Не действует,0
300-07-683-1,Артафит,artafit,ВРК,100 г/л Полидиаллилдиметиламмоний хлорид,регулятор роста,ООО «НПИЦ БиоГрадис»,,III,III,15.06.2015,14.06.2025,Не действует,0
019-03-1624-1,Артист,artist,ВДГ,240 г/кг флуфенацет + 175 г/кг Метрибузин,гербицид,Байер КропСайенс АГ,,III,III,21.11.2017,20.11.2027,Действует,0
010-02-2275-1,Артстар,artstar,ВДГ,750 г/кг трибенурон-метил,гербицид,ООО «ЛИСТЕРРА»,1057749556930,III,III,17.06.2019,16.06.2029,Действует,0
010-03-2275-1,Артстар,artstar,ВДГ,750 г/кг трибенурон-метил,гербицид,ООО «ЛИСТЕРРА»,1057749556930,III,III,17.06.2019,16.06.2029,Действует,0
590-02-4990-1,Арфа,arfa,КС,250 г/л Боскалид + 50 г/л Дифеноконазол,фунгицид,ООО ФРАНДЕСА,1157746513055,III,III,20.08.2025,19.08.2035,Действует,0
014-02-2847-1,Архитект,arhitekt,СЭ,100 г/л Пираклостробин + 25 г/л прогексадион кальция + 150 г/л мепикват-хлорид,фунгицид,«БАСФ СЕ»,,III,III,06.11.2020,05.11.2030,Действует,0
014-07-3176-1,Архитект,arhitekt,С,25 г/л прогексадион кальция + 150 г/л мепикват-хлорид + 100 г/л Пираклостробин,регулятор роста,«БАСФ СЕ»,,III,III,07.06.2021,06.06.2031,Действует,0
197-03-2459-1,Ас,as,ВК,250 г/л Имазапир,гербицид,ООО «Агрохим ХХ1»,5067746338150,III,III,07.11.2019,06.11.2029,Действует,0
070-02-4793-1,Асинуин,asinuin,СК,240 г/л Азоксистробин + 160 г/л эпоксиконазол,фунгицид,ООО «АГРОМИР»,1187746148424,III,III,29.01.2025,29.01.2035,Действует,0
021-01-2278-1,Аспид,aspid,СК,480 г/л Тиаклоприд,инсектицид,АО Фирма «Август»,1025006038958,II,III,17.06.2019,29.12.2025,Действует,0
966-02-4897-0,Ассанж,assanzh,КС,375 г/л флуазинам + 150 г/л Азоксистробин,фунгицид,ООО «КРОПЭКС»,1037706002773,III,III,02.06.2025,01.06.2028,Действует,0
126-03-9924-1,Ассегай,assegay,СЭ,"312,5 г/л Пропизохлор + 187,5 г/л тербутилазин",гербицид,"ООО ""ШАНС""",1093668046812,II,III,24.04.2026,23.04.2036,Действует,0
178-03-2167-1,Ассолюта,assolyuta,МК,"5,35 г/л флорасулам + 300 г/л 2,4-Д кислоты (2-этилгексиловый эфир)",гербицид,ООО «Агро Эксперт Груп»,1027708006996,II,III,27.03.2019,26.03.2029,Действует,0
178-03-2429-1,Ассолюта Прайм,assolyuta-praym,МК,"410 г/л 2,4-Д (сложный 2-этилгексиловый эфир) + 15 г/л флорасулам",гербицид,+ 15 г/л флорасулам) ООО «Агро Эксперт Груп»,1027708006996,II,III,16.10.2019,15.10.2029,Действует,0
050-03-4488-1,Астэрикс,asteriks,СЭ,"300 г/л 2,4-Д (сложный 2-этилгексиловый эфир) + 6,25 г/л флорасулам",гербицид,"+ 6,25 г/л флорасулам) ЗАО «ФМРус»",1097746208207,II,III,29.03.2024,28.03.2034,Действует,0
997-01-9932-1,Асфицид Био,asfitsid-bio,КЭ,700 г/л Мальтодекстрин,инсектицид,ООО «Рустарк»,1022303582290,III,III,29.04.2026,28.04.2036,Действует,0
066-01-831-1,Атаброн,atabron,КС,107 г/л Хлорфлуазурон,инсектицид,ИСК Биосаенсис Юроп Н.В.,,III,II,29.10.2015,28.10.2025,Не действует,0
066-01-9798-1,Атаброн,atabron,КС,107 г/л Хлорфлуазурон,инсектицид,ИСК Биосайенсис Юроп,,III,III,02.03.2026,01.03.2036,Не действует,0
066-01-9802-1,Атаброн,atabron,КС,107 г/л Хлорфлуазурон,инсектицид,ИСК Биосайенсис Юроп,,III,III,04.03.2026,29.04.2026,Действует,0
023(197)-02-2468-1,Атлант,atlant,КЭ,250 г/л Пропиконазол,фунгицид,"ООО «Агрохим ХХ1», ООО «АНПП «Агрохим-XXI»","5067746338150, 1027700119710",III,III,13.11.2019,12.11.2029,Действует,0
023-02-1368-1,Атлант Супер,atlant-super,КЭ,250 г/л Пропиконазол + 80 г/л Ципроконазол,фунгицид,ООО «АНПП «Агрохим-XXI»,1027700119710,III,III,16.02.2017,15.02.2027,Действует,0
012-07-772-1,Атлет,atlet,ВР,600 г/л Хлормекватхлорид,регулятор роста,ООО Фирма «Зеленая Аптека Садовода»,1037700040564,III,III,07.09.2015,06.09.2025,Не действует,1
002-03-3781-1,АтронПро,atronpro,ВДГ,250 г/кг Имазапир + 75 г/кг сульфометурон-метил,гербицид,ООО «АГРУСХИМ»,1057747562509,III,III,09.09.2022,08.09.2032,Действует,0
010(038)-02-3624-1,Аттик,attik,КС,"6,3 г/л Ципроконазол + 30 г/л Дифеноконазол",фунгицид,"ООО «АГРОКОМ», ООО «ЛИСТЕРРА»","1077758212685, 1057749556930",III,-,13.04.2022,12.04.2032,Действует,0
528-02-3701-1,Афродита 250,afrodita-250,КС,250 г/л Азоксистробин,фунгицид,СИПКАМ ОКСОН С.П.А.,,III,III,06.06.2022,05.06.2032,Действует,0
201-02-3172-1,Аффет,affet,КС,200 г/л Пентиопирад,фунгицид,АРИСТА ЛАЙФСАЙЕНС С.А.С.,,III,III,03.06.2021,02.06.2031,Действует,0
018-03-1049-1,Ацетал Про,atsetal-pro,КЭ,720 г/л Пропизохлор,гербицид,АО «Щелково Агрохим»,1025006519427,II,III,25.03.2016,24.03.2026,Не действует,0
018-03-9792-0,Ацетал Про,atsetal-pro,КЭ,720 г/л Пропизохлор,гербицид,"АО ""ЩЕЛКОВО АГРОХИМ""",1025006519427,II,III,04.02.2026,03.02.2029,Действует,0
063-02-2250-1,Ацидан,atsidan,СП,640 г/кг Манкоцеб + 80 г/кг Металаксил,фунгицид,ООО «ХИМАГРОМАРКЕТИН Г.РУ»,1023403447913,II,III,29.05.2019,28.05.2029,Действует,0
050(360)-03-2966-1,Ацифект,atsifekt,ВК,250 г/л Ацифлуорфен,гербицид,"ЗАО «ФМРус», ООО «АГРОХИМИНВЕСТ","1097746208207, 1027743011207",II,III,30.12.2020,29.12.2030,Действует,0
184(026)-02-3902-1,Аякс,ayaks,КС,125 г/л Дифеноконазол + 200 г/л Азоксистробин,фунгицид,"Агрия АД, ООО «Агрорус и Ко»",,III,III,13.12.2022,12.12.2032,Действует,0
090-07-3218-1,Б-360,b-360,ВР,1х10 -6 г/л Липо-хитоолигосахариды,регулятор роста,Байер Агрикалче БВБА,,IV,-,26.04.2018,25.04.2028,Действует,0
102-03-502-1,БАМБУ,bambu,КЭ,480 г/л кломазон,гербицид,«РОТАМ Лтд»,,III,III,22.01.2015,21.01.2025,Не действует,0
430-02-1644-1,БФТИМ КС-2,bftim-ks-2,Ж,1х10⁹ КОЕ/Мл Bacillus amyloliquefaciens КС-2 + 1х10⁹ КОЕ/Мл Bacillus amyloliquefaciens КС-2,фунгицид,ООО «ПАРАДИГМА»,1132311008004,III,III,12.12.2017,11.12.2027,Действует,0
590(297)-02-2658-1,Багрец,bagrets,КС,50 г/л Флудиоксонил + 21 г/л Азоксистробин,фунгицид,"ООО ФРАНДЕСА, ООО «Франдеса»",1157746513055,III,-,22.04.2020,21.04.2030,Действует,0
014-03-2416-1,Базагран,bazagran,ВР,480 г/л Бентазон,гербицид,«БАСФ СЕ»,,III,III,07.10.2019,06.10.2029,Действует,0
029-03-2705-1,Базис,bazis,СТС,500 г/кг римсульфурон + 250 г/кг тифенсульфурон-метил,гербицид,ООО «Дюпон Наука и Технологии»,,III,III,19.06.2020,18.06.2030,Действует,0
866-03-4080-1,Базис Форте,bazis-forte,ВДГ,"148,14 г/кг римсульфурон + 92,60 г/кг тифенсульфурон-метил + 111,11 г/кг изоксадифен-этил",гербицид,ООО Кортева Агрисаенс Рус,1106195008787,III,III,28.04.2023,27.04.2033,Действует,0
063-02-2251-1,Байзафон,bayzafon,СП,250 г/кг Триадимефон,фунгицид,ООО «ХИМАГРОМАРКЕТИН Г.РУ»,1023403447913,III,III,29.05.2019,28.05.2029,Действует,0
021-02-4279-0,Байсайд,baysayd,ВСК,40 г/л Протиоконазол + 30 г/л Флудиоксонил + 15 г/л Азоксистробин,фунгицид,АО Фирма «Август»,1025006038958,III,-,01.12.2023,30.11.2026,Действует,0
021-02-9933-0,Байсайд,baysayd,ВСК,40 г/л Протиоконазол + 30 г/л Флудиоксонил + 15 г/л Азоксистробин,фунгицид,"АО ФИРМА ""АВГУСТ""",1025006038958,III,-,30.04.2026,29.04.2029,Действует,0
019-03-1211-1,Бакара Форте,bakara-forte,КС,120 г/л Дифлюфеникан + 120 г/л флуфенацет + 120 г/л флуртамон,гербицид,Байер КропСайенс АГ,,III,III,05.09.2016,04.09.2026,Не действует,0
242-01-1501-1,Баксис,baksis,Ж,"10⁹ КОЕ/Мл Bacillussubtilis, штамм 63-Z",фунгицид,ООО «Инвиво»,1082323000495,III,III,22.05.2017,21.05.2027,Действует,0
008-02-2339-1,Бактерра,bakterra,СП,10⁹ КОЕ/г Bacillussubtilis,фунгицид,ООО «Ваше хозяйство»,1025203566728,III,III,26.07.2019,25.07.2029,Действует,1
034-02-2049-1,Бактофит,baktofit,СК,"2×10⁹ спор/Мл Bacillussubtilis, штамм ИПМ 215",фунгицид,ООО ПО «Сиббиофарм»,1035404721780,III,III,12.11.2018,11.11.2028,Действует,1
034-02-3860-1,Бактофит,baktofit,СП,"2×10⁹ спор/Мл Bacillussubtilis, штамм ИПМ 215",фунгицид,ООО ПО «Сиббиофарм»,1035404721780,IV,III,08.11.2022,13.05.2024,Действует,1
283-02-2257-1,Бактофорт,baktofort,Ж,"2,5×10⁹ КОЕ/Мл Bacillus subtilis, штаммВ-2918 + 2,5×10⁹ КОЕ/Мл Bacillus amyloliquefaciens, штаммИМВВ-7100",фунгицид,ООО СХП «НИВА»,1149102116426,III,III,31.05.2019,30.05.2029,Действует,0
015-02-3893-1,Балая,balaya,КЭ,100 г/л Мефентрифлуконазол + 100 г/л Пираклостробин,гербицид,БАСФ Агро Б.В.,,II,III,01.12.2022,30.11.2032,Действует,0
021-03-4447-1,Балерина,balerina,СЭ,"410 г/л 2,4-Д (сложный 2-этилгексиловый эфир) + 7,4 г/л флорасулам",гербицид,"+ 7,4 г/л флорасулам) АО Фирма «Август»",1025006038958,II,III,11.03.2024,10.03.2034,Действует,0
021-03-2797-1,Балерина Супер,balerina-super,СЭ,"410 г/л 2,4-Д (сложный 2-этилгексиловый эфир) + 15 г/л флорасулам",гербицид,+ 15 г/л флорасулам) АО Фирма «Август»,1025006038958,II,III,14.09.2020,13.09.2030,Действует,0
021-03-2701-1,Балерина Форте,balerina-forte,СЭ,"300 г/л 2,4-Д (сложный 2-этилгексиловый эфир) + 37,5 г/л пиклорам + 10 г/л флорасулам",гербицид,"+ 37,5 г/л пиклорам + 10 г/л флорасулам) АО Фирма «Август»",1025006038958,II,III,08.06.2020,07.06.2030,Действует,0
021-02-2633-1,Балий,baliy,КМЭ,180 г/л Пропиконазол + 120 г/л Азоксистробин,фунгицид,АО Фирма «Август»,1025006038958,III,III,31.03.2020,30.03.2030,Действует,0
017-02-716-1,Балинт,balint,КС,"37,5 г/л Флутриафол + 25 г/л Тиабендазол + 15 г/л Имазалил",фунгицид,ПЕТЕРС & БУРГ Кфт.,,III,-,21.07.2015,20.07.2025,Не действует,0
018-03-4213-1,Баллиста,ballista,МД,90 г/л антидот мефенпир-диэтил + 30 г/л мезосульфурон-метил + 12 г/л флорасулам + 17 г/л Флуметсулам,гербицид,АО «Щелково Агрохим»,1025006519427,III,III,03.10.2023,02.10.2033,Действует,0
156-02-3256-1,Бампер Супер,bamper-super,КЭ,400 г/л Прохлораз + 90 г/л Пропиконазол,фунгицид,ООО «АДАМА РУС»,1062310039934,III,III,05.08.2021,04.08.2031,Действует,0
041-03-943-1,Банвел,banvel,ВР,480 г/л Дикамба (диметиламинная соль),гербицид,ООО «Сингента»,1037739325271,III,III,18.01.2016,17.01.2026,Не действует,0
041-03-9957-0,Банвел,banvel,ВР,480 г/л дикамба кислота (диметиламинная соль),гербицид,"ООО ""СИНГЕНТА""",1037739325271,III,III,18.05.2026,17.05.2029,Действует,0
156-02-2422-1,Банджо Форте,bandzho-forte,КС,200 г/л флуазинам + 200 г/л Диметоморф,фунгицид,ООО «АДАМА РУС»,1062310039934,III,III,09.10.2019,08.10.2029,Действует,0
019-03-3199-1,Бандур,bandur,КС,600 г/л Аклонифен,гербицид,Байер КропСайенс АГ,,III,III,06.07.2021,05.07.2031,Действует,0
201-02-1687-1,Банко,banko,КС,500 г/л хлороталонил,фунгицид,АРИСТА ЛАЙФСАЙЕНС С.А.С.,,II,II,23.01.2018,22.01.2028,Действует,0
999-07-9808-1,Баобаб,baobab,КЭ,250 г/л Тринексапак-этил,регулятор роста,Ариста ЛайфСайенс Бенилюкс СРЛ,,III,III,05.03.2026,04.03.2036,Действует,0
002-01-2108-1,Баргузин,barguzin,Г,100 г/кг Диазинон,инсектицид,ООО «АГРУСХИМ»,1057747562509,III,-,06.02.2019,05.02.2029,Действует,1
019-02-998-1,Баритон,bariton,КС,"37,5 г/л Протиоконазол + 37,5 г/л флуоксастробин",фунгицид,Байер КропСайенс АГ,,III,-,04.03.2016,03.03.2026,Не действует,0
019-02-2140-1,Баритон Супер,bariton-super,КС,"50 г/л Протиоконазол + 10 г/л Тебуконазол + 37,5 г/л Флудиоксонил",фунгицид,Байер КропСайенс АГ,,II,-,04.03.2019,03.03.2029,Действует,0
010-02-10029-0,Баркас,barkas,ВДГ,500 г/кг Боскалид,фунгицид,"ООО ""ЛИСТЕРРА""",1057749556930,III,III,26.06.2026,25.06.2029,Действует,0
446-03-1529-1,Барон,baron,ВР,480 г/л Бентазон,гербицид,ООО «СФ-РЕГИСТРЭЙШН»,1142310001404,III,III,26.07.2017,25.07.2027,Действует,0
014-03(04)-2731-1,Баста,basta,ВР,150 г/л Глюфосинат аммоний,гербицид,«БАСФ СЕ»,,II,III,15.12.2015,16.12.2025,Не действует,0
082-03-4333-1,Бастер,baster,ВР,460 г/л Бентазон + 25 г/л Имазамокс,гербицид,ООО «Интер Групп»,1084312000420,III,III,22.12.2023,21.12.2033,Действует,0
126-02-9954-1,Бастион,bastion,КС,500 г/л флуазинам,фунгицид,"ООО ""ШАНС""",1093668046812,III,III,18.05.2026,17.05.2036,Действует,0
699-04-10123-1,Бастнат Экстра,bastnat-ekstra,ВГ,800 г/кг Глюфосинат аммоний,десикант,"«Шандонг Вейфанг Рейнбоу Кемикал Ко., Лтд.»",,III,III,21.09.2026,20.09.2036,Действует,0
018-01-9868-0,Батардо,batardo,МД,105 г/л Индоксакарб + 90 г/л Люфенурон,инсектицид,"АО ""ЩЕЛКОВО АГРОХИМ""",1025006519427,III,I,26.03.2026,25.03.2029,Действует,1
178-02-3836-1,Батлер,batler,КС,500 г/л флуазинам,фунгицид,ООО «Агро Эксперт Груп»,1027708006996,III,III,25.10.2022,24.10.2032,Действует,0
871-01(02)-4225-1,Батор,bator,КС,140 г/л Имидаклоприд + 150 г/л пенцикурон,инсектицид,Рейбоу Агросайенс Кфт.,,III,-,20.10.2023,19.10.2033,Действует,0
021-01-2591-1,Батрайдер,batrayder,СК,125 г/л Альфа-ципермeтрин + 100 г/л Имидаклоприд + 50 г/л Клотианидин,инсектицид,АО Фирма «Август»,1025006038958,III,I,13.03.2020,12.03.2030,Действует,1
010(038)-03-4137-1,Бегин,begin,КЭ,960 г/л С-Метолахлор,гербицид,"ООО «ЛИСТЕРРА», ООО «АГРОКОМ»","1057749556930, 1077758212685",III,III,22.06.2023,21.06.2033,Действует,0
010-03-2431-1,Бегин Турбо,begin-turbo,КС,250 г/л тербутилазин + 250 г/л С-Метолахлор,гербицид,ООО «ЛИСТЕРРА»,1057749556930,III,III,16.10.2019,15.10.2029,Действует,0
021-01-2995-1,"Без названия, рег. № 021-01-2995-1",bez-nazvaniya-reg-021-01-2995-1,,40 г/кг Диазинон,инсектицид,АО Фирма «Август»,1025006038958,III,-,26.01.2021,25.01.2031,Действует,1
014-02-4291-0,Беллис,bellis,ВДГ,252 г/кг Боскалид + 128 г/кг Пираклостробин,фунгицид,«БАСФ СЕ»,,III,III,05.12.2023,04.12.2026,Действует,0
019-01-1231-1,Белт,belt,КС,480 г/л Флубендиамид,инсектицид,Байер КропСайенс АГ,,III,II,19.09.2016,18.09.2026,Не действует,0
018-02-9986-0,Белуджи,beludzhi,КС,450 г/л хлороталонил + 30 г/л Боскалид,фунгицид,"АО ""ЩЕЛКОВО АГРОХИМ""",1025006519427,II,III,28.05.2026,27.05.2029,Действует,0
156-03-2129-1,Бельведер,belveder,СЭ,160 г/л Десмедифам + 160 г/л фенмедифам,гербицид,ООО «АДАМА РУС»,1062310039934,III,III,28.02.2019,27.02.2029,Действует,0
156-03-2255-1,Бельведер Форте,belveder-forte,СЭ,200 г/л этофумезат + 100 г/л фенмедифам + 100 г/л Десмедифам,гербицид,ООО «АДАМА РУС»,1062310039934,II,III,31.05.2019,30.05.2029,Действует,0
018-02-2386-1,Беназол,benazol,СП,500 г/кг Беномил,фунгицид,АО «Щелково Агрохим»,1025006519427,II,III,01.10.2019,30.09.2029,Действует,0
489-01-2117-1,Беневия,beneviya,МД,100 г/л Циантранилипрол,инсектицид,ООО «ЭфЭмСи»,1037706002773,III,III,22.02.2019,21.02.2029,Действует,0
018-02-4385-1,Бенефис,benefis,МЭ,50 г/л Имазалил + 40 г/л Металаксил + 30 г/л Тебуконазол,фунгицид,АО «Щелково Агрохим»,1025006519427,II,-,26.01.2024,25.01.2034,Действует,0
018-02-3813-1,Бенефис Суприм,benefis-suprim,МЭ,50 г/л Имазалил + 30 г/л Тебуконазол + 20 г/л мефеноксама,фунгицид,АО «Щелково Агрохим»,1025006519427,II,-,05.10.2022,04.10.2032,Действует,0
018-03-3051-1,Бенито,benito,ККР,300 г/л Бентазон,гербицид,АО «Щелково Агрохим»,1025006519427,III,III,18.03.2021,17.03.2031,Действует,0
002-02-2478-1,Беномил 500,benomil-500,СП,500 г/кг Беномил,фунгицид,ООО «АГРУСХИМ»,1057747562509,II,III,20.11.2019,19.11.2029,Действует,0
021-02-3859-1,Бенорад,benorad,СП,500 г/кг Беномил,фунгицид,АО Фирма «Август»,1025006038958,II,III,07.11.2022,06.11.2032,Действует,0
070-03-3586-1,Бенрил,benril,ВДГ,750 г/кг трибенурон-метил,гербицид,ООО «АГРОМИР»,1187746148424,III,III,05.04.2022,04.04.2032,Действует,0
647-03-2892-1,Бентазолин,bentazolin,ВР,480 г/л Бентазон,гербицид,ООО АГРОХИМСТРОЙ,1172801013538,III,III,23.11.2020,22.11.2030,Действует,0
050(360)-03-1060-1,Бентасил,bentasil,ВР,480 г/л Бентазон,гербицид,"ЗАО «ФМРус», ООО «АГРОХИМИНВЕСТ","1097746208207, 1027743011207",III,III,07.04.2016,06.04.2026,Не действует,0
050-03-9771-0,Бентасил,bentasil,ВР,480 г/л Бентазон,гербицид,"АО ""ФМРус""",1097746208207,III,III,22.01.2026,21.01.2029,Действует,0
278-03-4117-1,Бентекс,benteks,ВР,480 г/л Бентазон,гербицид,ООО ЭЛЛИПСАГРО,1142308002495,III,III,18.04.2022,17.04.2032,Действует,0
070-03-3877-1,Бентилон,bentilon,ВР,480 г/л Бентазон,гербицид,ООО «АГРОМИР»,1187746148424,III,III,16.11.2022,15.11.2032,Действует,0
277-03-2091-1,Бентобел,bentobel,ВР,480 г/л Бентазон,гербицид,ООО «БЕЛИН»,1127747077622,III,III,01.02.2019,31.01.2029,Действует,0
036-03-2734-1,Бентограм,bentogram,ВР,480 г/л Бентазон,гербицид,ООО «Амурагрохим»,1022800507080,III,III,06.07.2020,05.07.2030,Действует,0
778-07-3395-1,Берелин,berelin,ВРП,200 г/кг Гиббереллиновые кислоты А4 + 200 г/кг А7,регулятор роста,ООО «ИНТЕГРАЦИЯ»,1177746516210,III,III,06.12.2021,05.12.2031,Действует,0
018-01-2828-1,Беретта,beretta,МД,60 г/л Бифентрин + 40 г/л Тиаметоксам + 30 г/л альфа-циперметрин,инсектицид,АО «Щелково Агрохим»,1025006519427,III,I,08.10.2020,07.10.2030,Действует,1
082-03-3867-1,Берилл,berill,КЭ,120 г/л Клетодим,гербицид,ООО «Интер Групп»,1084312000420,III,III,10.11.2022,09.11.2032,Действует,0
082-03-9750-0,Берилл Макс,berill-maks,КЭ,240 г/л Клетодим,гербицид,"ООО ""ИНТЕР ГРУПП""",1084312000420,III,III,12.01.2026,11.01.2029,Действует,0
810-07-3644-1,Беркана,berkana,ВРК,18 мг/л 3-индолилуксусная кислота + 70 мг/л α-глутаминовая кислота + 60 мг/л α-аланин,регулятор роста,ООО «АГРОФИРМА ПОИСК-ПРОФИ»,5157746204831,III,III,19.04.2022,18.04.2032,Действует,0
097-03-2932-1,Бетакем,betakem,КЭ,112 г/л этофумезат + 91 г/л фенмедифам + 71 г/л Десмедифам,гербицид,ООО «АГРус»,5087746677893,III,III,17.12.2020,16.12.2030,Действует,0
019-03-901-1,Бетанал 22,betanal-22,КЭ,160 г/л Десмедифам + 160 г/л фенмедифам,гербицид,Байер КропСайенс АГ,,III,III,16.12.2015,15.12.2025,Не действует,0
019-03-9685-0,Бетанал 22,betanal-22,КЭ,160 г/л фенмедифам + 160 г/л Десмедифам,гербицид,Байер КропСайенс АГ,,III,III,24.11.2025,23.11.2028,Действует,0
019-03-903-1,Бетанал Прогресс ОФ,betanal-progress-of,КЭ,112 г/л этофумезат + 91 г/л фенмедифам + 71 г/л Десмедифам,гербицид,Байер КропСайенс АГ,,III,III,16.12.2015,15.12.2025,Не действует,0
019-03-902-1,Бетанал Эксперт ОФ,betanal-ekspert-of,КЭ,112 г/л этофумезат + 91 г/л фенмедифам + 71 г/л Десмедифам,гербицид,Байер КропСайенс АГ,,III,III,16.12.2015,15.12.2025,Не действует,0
019-03-9649-0,Бетанал Эксперт ОФ,betanal-ekspert-of,КЭ,112 г/л этофумезат + 91 г/л фенмедифам + 71 г/л десмедифама,гербицид,Байер КропСайенс АГ,,III,III,24.10.2025,23.10.2028,Действует,0
019-03-3931-1,Бетанал максПро,betanal-makspro,МД,75 г/л этофумезат + 60 г/л фенмедифам + 47 г/л Десмедифам + 27 г/л Ленацил,гербицид,Байер КропСайенс АГ,,II,III,09.01.2023,08.01.2033,Действует,0
082-03-10075-0,Бетаниум,betanium,КЭ,112 г/л этофумезат + 91 г/л фенмедифам + 71 г/л Десмедифам,гербицид,"ООО ""ИНТЕР ГРУПП""",1084312000420,II,III,17.08.2026,16.08.2029,Действует,0
082-03-4628-0,Бетаниум 22,betanium-22,КЭ,160 г/л Десмедифам + 160 г/л фенмедифам,гербицид,ООО «Интер Групп»,1084312000420,III,III,02.07.2024,01.07.2027,Действует,0
018-03-4399-0,Бетарен 22,betaren-22,МКЭ,110 г/л Десмедифам + 110 г/л фенмедифам,гербицид,АО «Щелково Агрохим»,1025006519427,III,III,01.02.2024,31.01.2027,Действует,0
018-03-4909-0,Бетарен 320,betaren-320,МД,160 г/л г/л десмедифама + 160 г/л г/л Фенмедифама,гербицид,АО «Щелково Агрохим»,1025006519427,III,III,23.06.2025,22.06.2028,Действует,0
018-03-4910-0,Бетарен Макс,betaren-maks,МД,126 г/л этофумезат + 80 г/л десмедифама + 64 г/л Фенмедифама,гербицид,АО «Щелково Агрохим»,1025006519427,III,III,23.06.2025,22.06.2028,Действует,0
018-03-2953-1,Бетарен Супер МД,betaren-super-md,МКЭ,21 г/л Десмедифам + 126 г/л этофумезат + 63 г/л фенмедифам,гербицид,АО «Щелково Агрохим»,1025006519427,II,III,24.12.2020,23.12.2030,Действует,0
018-03-1918-1,Бетарен Экспресс АМ,betaren-ekspress-am,КЭ,60 г/л этофумезат + 60 г/л фенмедифам + 60 г/л Десмедифам,гербицид,АО «Щелково Агрохим»,1025006519427,III,III,21.05.2018,20.05.2028,Действует,0
097-03-2096-1,Бетацвай,betatsvay,КЭ,160 г/л Десмедифам + 160 г/л фенмедифам,гербицид,ООО «АГРус»,5087746677893,III,III,01.02.2019,31.01.2029,Действует,0
126-03-2027-1,Беташанс Дабл,betashans-dabl,КЭ,160 г/л Фенмедифама + 160 г/л десмедифама,гербицид,ООО «Шанс»,1093668046812,III,III,25.10.2018,24.10.2028,Действует,0
126-03-4002-1,Беташанс Трио,betashans-trio,КЭ,112 г/л этофумезат + 91 г/л фенмедифам + 71 г/л Десмедифам,гербицид,ООО «Шанс»,1093668046812,III,III,06.03.2023,05.03.2033,Действует,0
142-03-940-1,Бетинол 22,betinol-22,КЭ,160 г/л Десмедифам + 160 г/л фенмедифам,гербицид,ООО «АГРОБЮРО РУС»,5077746795748,III,III,30.12.2015,29.12.2025,Не действует,0
058-01-1959-1,Би-58 Топ,bi-58-top,КЭ,400 г/л Диметоат,инсектицид,«КЕМИНОВА А/С»,,III,I,04.07.2018,03.07.2028,Действует,0
351-07-1040-1,Бигус,bigus,ВР,25 г/л Гуминовых кислот калиевые соли,регулятор роста,ООО «ИННОВАЦИОННЫЙ ЦЕНТР»,1157746561862,IV,III,04.03.2016,03.03.2026,Не действует,1
178-03-2208-1,Бизон,bizon,ВК,480 г/л Бентазон,гербицид,ООО «Агро Эксперт Груп»,1027708006996,III,III,26.04.2019,18.11.2021,Действует,0
178-03-2860-1,Бизон Эдванс,bizon-edvans,КЭ,350 г/л Бентазон + 2 г/л тифенсульфурон-метил,гербицид,ООО «Агро Эксперт Груп»,1027708006996,III,III,29.10.2020,28.10.2030,Действует,0
085-01-3713-1,Биммер,bimmer,КЭ,400 г/л Диметоат,инсектицид,ООО «Ярило»,1083123001500,II,I,14.06.2022,13.06.2032,Действует,0
046-01-4744-1,Бинадин,binadin,КЭ,400 г/л Диметоат,инсектицид,ЗАО «ТПК «Техноэкспорт»,1025005325070,II,I,03.12.2024,02.12.2034,Не действует,0
046-01-4996-1,Бинадин,binadin,КЭ,400 г/л Диметоат,инсектицид,ООО «Техноэкспорт»,1125042005175,II,I,29.08.2025,02.12.2034,Действует,0
101-02-3361-1,Бинал,binal,Ж,10⁷ КОЕ/см³ Bacillussubtilis B1018 + 10⁶ КОЕ/см³ Trichoderma virideF2001,фунгицид,ООО «БИОМ-ПРО»,1075009002254,III,III,01.11.2021,31.10.2031,Не действует,0
101-02-5083-0,Бинал,binal,Ж,10⁷ КОЕ/см³ Bacillussubtilis B1018 + 10⁶ КОЕ/см³ Trichoderma virideF2001,фунгицид,ООО «БИОМ-ПРО»,1075009002254,III,III,01.08.2025,31.07.2028,Действует,0
347-02-2186-1,Бинорам,binoram,Ж,"2,5×10¹⁰ Кл/Мл Pseudomonasfluorescens, штаммы 7Г, 7Г2К, 17-2",фунгицид,ООО «АГРОИМПЭКС»,1157746689484,III,-,05.04.2019,04.04.2029,Действует,1
